Tak tedy dobrý den , děkuji za pěkné přivítání .	Vielen Dank für die warme @ Willkommenheißung .
Ta spadá pod spolkovou zemi Braniborsko a leží na leží na sever od Horní Lužice . Tak tomu často bývá , že to , co je Dolní , vlastně leží severně od Horního . Tak je to příklad a případ právě i tady v Lužici . Srbové jako slovanský národ přišli do oblasti Lužice už před více než 1400 lety .	Im Brandenburg liegt @ die- der Niederlausitz und oft ist es so , dass was niedern ist , ist eigentlich nördlich und auch hier ist das der gleiche Fall . @ Diese slawische Nation kam @ vor mehr als @ 1400 Jahren in dieses Gebiet von Mausitz .
Mají tedy za sebou pestrou historii .	Sie haben eine lange Geschichte daher hinter sich .
Prvním významným milníkem v historii Lužických Srbů nastal v 19. století .	
Protože právě to byla doba , kdy si Lužičtí Srbové začaly více uvědomovat svou národnost . Zkrátka rostlo to národní vědomí .	In den neunzehnten Jahren , @ das war eine Zeit , als die Sorben eher ihre Nation- Nation bewusst wurden .
A právě v tuto dobu se tedy začaly snažit prosadit své kulturní hodnoty , svůj jazyk .	Und in dieser Zeit haben sie sich bemüht , ihre kulturelle Werte durchzusetzen , ihre Sprache durchzusetzen .
Například byla také povolena výuka na gymnáziu v srbském jazyce a tak dále . Také v roce dva- pardon , 1912 byla založena organizace Domovina a tato organizace existuje dodnes . Ta tedy také podporuje práva Lužických Srbů .	Es wurde auch die sorbisch- der sorbische Unterricht in Gymnasien genehmigt und 2012 war auch die Organisation Domovina gegründet , so Heimat , und die unterstützt kulturelle Erbe von Sorbe , das kulturelle Erbe .
A také v době NDR , tedy v době mezi rokem 1949 a mezi rokem 1990 se vlastně došlo k velkému rozkvětu této kultury .	Zwischen Jahren 1949 und 1990 @ kam zu großen Blüten dieser ku- sorbischen Kultur .
Rozšířili rozšířila se působnost .	
Například vznikl Srbský institut , vznikla různá nakladatelství , školy , divadla .	Es entstand Sorbische Insit- der Sorbische Institut für &#91; není dobře rozumět , takhle rozumím &#93; Lage und Schulen .
Takže právě když byla tady NDR , tak došlo k velkému rozvinutí této kultury .	Und in den Zeiten von ND- DDR entwickelte sich diese Kultur rasch .
Ale i za to se muselo zaplatit , protože celá organizace Domovina , kterou jsem již zmínila , byla plně pod vlivem SED .	Dafür musste man auch bezahlen , weil diese Organisation , Domovina , war unter @ der Regierung von SED .
Což byla tedy tehdy v NDR jediná vládnoucí politická strana .	Es war die @ einzige regierende Partei damals .
Co se týče jazyka .	
Tak Lužičtí Srbové si zachovali svůj vlastní jazyk .	
Jedná se o lužickou srbštinu .	Die Sprache ist Lausitzer-Sorbisch .
A je to stejně jako čeština západoslovanský jazyk .	Es ist eine westslawische Sprache wie Tschechisch .
A lužická srbština se stejně jako Lužice dělí na horno a dolno lužickou srbštinu . Tyto jazyky jsou si hodně podobné . Dlouho však lužická srbština neměla jednotnou gramatiku .	Und auch hier gibt es die Teilung in Ober- und Unter-Sorbisch , Nieder , Entschuldigung . @ Lange Zeit gab es keine Kodifizierung , was die Grammatik betrifft .
Nebyla nebyl to zkrátka kodifikovaný jazyk .	
A až v roce 1990 se lužická srbština stala úředním jazykem právě pro tuto oblast .	Aber später dann @ kam es zur Anerkennung von Sorbisch in diesem Gebiet als Amtssprache .
V okolí Budišína , tedy jednoho z velkých měst ( lužické- ) Lužice , jsou ve vesnicích například dvojazyčné nápisy .	Es gibt oft @ zwei @ Überschriften in zwei Sprachen .
A všichni Lužičtí Srbové mluví ale zároveň i německy .	Die Sorben in Deutschland sprechen auch Deutsch .
Takže většina Lužických Srbů dnes jsou bilingvní .	Das heißt , meistens sind sie bilingual .
Bohužel jsou ale i Lužičtí Srbové , kteří mluví pouze německy . Neovládají srbštinu .	Es gibt aber auch Sorben , die nur Deutsch sprechen , die die sorbische Sprache nicht beherrschen .
A i proto tedy tento jazyk vymírá a s ním , spolu s ním i ta kultura .	Und daher stirbt diese Sprache aus und mit der Sprache auch die Kultur .
Ale i tak můžeme lužickou srbštinu slyšet na různých místech .	Trotzdem können wir die sorbische Sprache verschiedenen Orten hören .
Existuje například Německo-srbské divadlo . Tam můžeme slyšet divadelní hry v lužické srbštině .	Es gibt Deutsch-Sorbisches Theater , ein Theater , wo wir auf Sorbisch die Spiele hören können .
Dále existují tištěná média . Můžu zmínit například Srbské noviny nebo rozhlad .	Es gibt sorbische @ Zeitungen oder @ die Zeitung heißt &#91; NAME &#93; Rozla .
Takže čeští mluvčí tady v sále už na základě názvů těchto novin poznají , že opravdu se jedná o jazyk slovanský a příbuzný češtině .	Die tschechischen Teilnehmer hören schon , dass es sich um eine slawische Sprache wirklich handelt .
Dále také můžeme slyšet lužickou srbštinu v německém rádiu . V německém rádiu MDR , které také část rozhl- nebo část vysílání odvysílá právě v lužické srbštině .	Es gibt auch in der Sendung im der NDR eine Sendung in der sorbischen Sprache , das ist ein , in der MDR Rundfunk .
A kromě toho nesmíme zapomínat , že tato kultura , tato národnostní menšina má své spisovatele . Mají své hudebníky , herce , novináře , filmaře , básníky , ale také malíře .	Und wir dürfen nicht über die Schriftsteller dieser Mehr- Minderheit vergessen , über die Musiker , Journalisten und @ Künstler , Maler und so weiter vergessen .
Takže , jak vidíte , zkrátka všechny články kultury které známe .	Also diese Minderheit hat wirklich alle Teile der Kultur , die wir kennen .
Tato národnostní menšina má taky své vlastní specifické tradice a zvyky . To je asi typické .	Diese nationale Minderheit hat ihre spezifische Traditionen und Bräuche , Bräuche .
To je typické pro vlastně jakoukoliv kulturu .	Das ist typisch für jede Kultur .
Ale nebudu tady do detailů teď rozebírat jednotlivé tradice Lužických Srbů . Spíše kdyby měl třeba někdo o pauze , kdyby to někoho zajímalo , tak budu připravena na vaše otázky .	Ich werde allerdings nicht in die Details gehen . @ Nur wenn in der @ Kaffeepause jemand interessiert ist , bin ich bereit , Ihre Fragen zu beantworten .
Ještě je potřeba zmínit , že Ústava Německa nezmiňuje menšinové národy .	Es ist noch wichtig zu erwähnen , dass die deutsche Verfassung die Minder- @ Minderheitsnation nicht erwähnt .
Zkrátka , Ústava , německá Ústava pouze rozlišuje výraz občan , tedy Němec .	Es gibt nur den Begriff Bürger , also deutsche Bürger .
A to neznamená , že by Lužičtí Srbové neměly nějaké , nebyly nějak právně ošetřeny . Respektive ta menšina . Ale je to právně ošetřeno právě na úrovni jednotlivých spolkových zemí . Tedy na úrovni spolkových zemí Saska a Braniborska .	Das heißt nicht , dass die Sorben , @ die Minderheit nicht rechtlich eingetragen wäre , aber es wäre nicht in Verfassung , sondern in Gesetzen der einzelnen Länder , Brandenburg und Sachsen .
A já bych je chtěla ještě , tedy kromě této teoretické části , kromě toho , že jsem vám představila tu kulturu a ten jazyk . Tak bych vám zde chtěla ještě přednést a představit výpovědi přímo Lužických Srbů . Tak , jak je řekly sami o sobě a o Němcích . A naopak výpovědi Němců , jak vnímají Lužické Srby . A tyto výpovědi , které vám zde přednesu , jsou vlastně z dotazníků , které prováděly naši studenti .	Außerdem , dass ich Ihnen die Kultur theoretisch vorgestellt habe , möchte ich auch @ ... möchte ich auch @ Äußerungen von Sorben und Deutschen sagen , was sie voneinander denken . @ Und was ich jetzt sage , ist von Umfragen @ genommen , die unsere Studenten durchgeführt haben .
Takže naši studenti , ať už osobně nebo písemně , se tedy ptali přímo přímo lidí z této národnostní menšiny .	Sie haben persönlich , meistens persönlich , @ von dieser sorbische Minderheit gefragt haben .
Takže například Lužická Srbka , tedy žena ve věku 25 let . Lužické Srby popsala jako skromné lidi , přívětivé lidi a uvedla , že co se týče autonomie je spokojená .	Also eine Sorbin , im Alter von 25 Jahren hat die Sorben als bescheidene Menschen , sehr freundliche Menschen be- beschrieben habe .
Nepociťuje politickou diskriminaci .	Und gesagt , dass es gibt keine , sie nimmt die politische Diskriminierung nicht wahr .
A fakt , že Lužičí Srbové umí dva jazyky vidí jako výhodu .	Und die Tatsache , dass die sorbische- Sorben bilingual sind , findet sie als Vorteil .
Občas cítí ze strany Němců nedůvěřivost . A to zejména , když mluví srbštinou . A za za základní atributy Lužického Srba považuje náboženství a jazyk .	Ab und zu @ spürt sie , ein Unvertrauen von Seite der Deutschen , wenn sie auf Sorbisch spricht , und die Unterschiede findet sie in Sprache und Religion .
Dále se vyjádřil Lužický Srb , tedy muž ve věku 40 let . A ten zdůraznuje , že v rámci Německa nemají Lužičtí Srbové žádnou autonomii .	Dann äußerte sich ein 40-jähriger Mann , der betont , dass im Rahmen der Sor- @ Deutschland haben die Sorben keine Autonomie .
Pochvaluje si tedy dotace od státu , ale nepovažuje je za dostačující . Také uvedl , že podle něj srbská kultura závisí na výchově rodičů a nikoli na státu . A tento muž tedy zařadil mezi hlavní atributy Lužických Srbů jazyk a pak teprve kulturu .	Er lo- er @ ist froh , @ dass es verschiedene Förderungen finanzielle gibt , aber dass die @ Entwicklung , dass die Behauptung der deutschen Sprache @ ist eher eine Frage der Eltern als des Staates , das findet er schlecht .
A ze strany Němců mohu citovat například jednoho respondenta . To je muž ve věku 53 let a ten si myslí , že Lužičtí Srbové mají dostatečnou míru autonomie .	Dann gibt es ein deutscher Stahlbürger , 50 Jahre alt ist und denkt , dass sie genug @ autonom sind , die Sorben .
A největší chybu nebo největší nedostatek vidí v tom , že Lužičtí Srbové nezískali žádné křeslo v Zemském sněmu . Tedy v takzvaném Landtagu , v Sasku a Braniborsku .	Und einen Nachteil sieht er in dem , dass sie keine , @ ... dass sie in Sachsen und Brandenburg in dem Landtag keine Abgeordnete haben .
Protože toto se povedlo například dánské menšině , zase v jiné spolkové zemi .	Was denn Dänen , den dänischen Minderheit eigentlich gelungen hatte .
A takže tedy vidíme , že ani jedna strana nepociťuje , že by Lužičtí Srbové byly nějak diskriminováni .	
Ale samozřejmě toto byly pouze výpovědi některý- některého z mála respondentů .	Also das war nur eine Antwort von vielen Respondenten .
A samozřejmě jsme se nezeptali úplně všech .	Man hat nicht alle gefragt .
Takže jako vždycky i zde dochází k určitému zobecňování .	Also es gibt natürlich Generalisierung in dieser Hinsicht .
A na závěr bych ještě ráda dodala , že Lužičtí Srbové nejsou pouze v oblasti Lužice . Tedy tam v Branniborsku a Sasku , jak již bylo zmíněno . Ale Lužičtí Srbové žijí také třeba v Drážďanách , v Lipsku , v Berlíně . A žijí i mimo Evropu . Například v Texasu . Anebo také ve státě Viktória v Austrálii . A kromě toho žijí také v Jižní Africe .	Dazu möchte ich hinzufügen , dass die Sorben @ nicht nur in der Nähe von @ Lausitz leben , aber auch in &#91; NAME &#93; Dresden , &#91; NAME &#93; Berlin , aber auch außerhalb Europas leben , in den USA , Australien , in der Stadt Viktoria oder in Südafrika .
Takže vidíme tedy , že jsou rozptýleni také po celém světě . A stejně tak jako účastníci dnešní konference .	Wir sehen , dass sie zerstreut sind über die ganze Welt , gleich wie die Teilnehmer der heutigen Konferenz .
Takže já vám děkuji za pozornost . A o přestávce si kdyžtak vyslechnu vaše dotazy , kdyby vás zajímalo ještě něco ke kultuře Lužických Srbů .	Vielen Dank für die @ Aufmerksamkeit und in der Kaffeepause höre ich gerne Ihre Fragen .
Děkuji .	Dankeschön .
