Tak tedy dobrý den , děkuji za pěkné přivítání .	Thank you very much for having me .
Lužice , jak už jsem tedy zmínila , tu to je ta oblast , kde oni bydlí nebo kde se vyskytují , jsou dvě .	There are two main areas where Sorbs live .
Máme Horní Lužici , ta se nachází blíže k České republice a leží v Sasku , Tedy na území Německa ve spolkové zemi Sasko .	We have Upper Lusatia , that is very close to the Czech Republic .
A hlavním centrem Horní Lužice je město Budišín . Německy se toto město nazývá Bautzen .	And the capital of Upper Lusatia is Bautzen .
A druhá Lužice je Dolní Lužice .	The other area is Lower Lusatia .
Ta spadá pod spolkovou zemi Braniborsko a leží na leží na sever od Horní Lužice . Tak tomu často bývá , že to , co je Dolní , vlastně leží severně od Horního .	This area is in the federal state of Brandenburg and it is in the north from the Upper Lusatia .
Tak je to příklad a případ právě i tady v Lužici . Srbové jako slovanský národ přišli do oblasti Lužice už před více než 1400 lety . Mají tedy za sebou pestrou historii .	The Sorbs , as a Slavic nation , came to the Lusatia region more than 1,400 years ago , so their history is very rich .
Prvním významným milníkem v historii Lužických Srbů nastal v 19. století . Protože právě to byla doba , kdy si Lužičtí Srbové začaly více uvědomovat svou národnost .	The first milestone in their history happened in the 19th century because that was a time when the Sorbs realized their nationality .
Zkrátka rostlo to národní vědomí .	They were more aware of their nationality .
A právě v tuto dobu se tedy začaly snažit prosadit své kulturní hodnoty , svůj jazyk .	So that is when they were trying to strengthen their language .
Například byla také povolena výuka na gymnáziu v srbském jazyce a tak dále .	For example , it was , from then it was possible to teach in grammar schools in Sorbian .
Také v roce dva- pardon , 1912 byla založena organizace Domovina a tato organizace existuje dodnes .	Also , the Domowina organization was founded around those times .
Ta tedy také podporuje práva Lužických Srbů .	
A také v době NDR , tedy v době mezi rokem 1949 a mezi rokem 1990 se vlastně došlo k velkému rozkvětu této kultury .	1949 up to 1990 , this culture flourished a lot .
Rozšířili rozšířila se působnost .	
Například vznikl Srbský institut , vznikla různá nakladatelství , školy , divadla .	For example , Sorbian Institute was founded , there are many theatres , etc .
Takže právě když byla tady NDR , tak došlo k velkému rozvinutí této kultury .	So during these times , this , this culture really flourished a lot , but there was a price to pay for that .
Ale i za to se muselo zaplatit , protože celá organizace Domovina , kterou jsem již zmínila , byla plně pod vlivem SED . Což byla tedy tehdy v NDR jediná vládnoucí politická strana .	The whole Domowina organization was under a full influence of the one political party that was at the government in those times .
Co se týče jazyka . Tak Lužičtí Srbové si zachovali svůj vlastní jazyk . Jedná se o lužickou srbštinu . A je to stejně jako čeština západoslovanský jazyk .	When it comes to language , the Sorbs managed to maintain their language , which is the Sorbian language , and it is a Slavic language , as I 've mentioned .
A lužická srbština se stejně jako Lužice dělí na horno a dolno lužickou srbštinu . Tyto jazyky jsou si hodně podobné .	Same as the area where they live , also the language is divided into two groups , Upper Sorbian and Lower Sorbian .
Dlouho však lužická srbština neměla jednotnou gramatiku . Nebyla nebyl to zkrátka kodifikovaný jazyk .	For a long time , this language didn 't have any written rules .
A až v roce 1990 se lužická srbština stala úředním jazykem právě pro tuto oblast .	Only in 1990 , the Sorbian language became an official language of this area .
V okolí Budišína , tedy jednoho z velkých měst ( lužické- ) Lužice , jsou ve vesnicích například dvojazyčné nápisy . A všichni Lužičtí Srbové mluví ale zároveň i německy . Takže většina Lužických Srbů dnes jsou bilingvní .	Near the Bautzen city , they 're villages that have signs in two languages , and it is true that all the Sorbs speak , speak German , so they 're very often bilingual Sorbs .
Bohužel jsou ale i Lužičtí Srbové , kteří mluví pouze německy .	Unfortunately , there are also some Sorbs who speak only German .
Neovládají srbštinu .	They do not know Sorbian at all .
A i proto tedy tento jazyk vymírá a s ním , spolu s ním i ta kultura .	So this way the Sorbian language and the culture dies out slowly .
Ale i tak můžeme lužickou srbštinu slyšet na různých místech .	
Existuje například Německo-srbské divadlo . Tam můžeme slyšet divadelní hry v lužické srbštině .	We can also hear some theatre plays in Sorbian , in some German-Sorbian theatres .
Dále existují tištěná média .	
Můžu zmínit například Srbské noviny nebo rozhlad . Takže čeští mluvčí tady v sále už na základě názvů těchto novin poznají , že opravdu se jedná o jazyk slovanský a příbuzný češtině .	I think that even Czech people can understand a little bit of the , of the Sorbian language , because it is Slavic .
Dále také můžeme slyšet lužickou srbštinu v německém rádiu . V německém rádiu MDR , které také část rozhl- nebo část vysílání odvysílá právě v lužické srbštině .	In the German radio , we can also hear from time to time some Sorbian programs .
A kromě toho nesmíme zapomínat , že tato kultura , tato národnostní menšina má své spisovatele . Mají své hudebníky , herce , novináře , filmaře , básníky , ale také malíře .	Besides that , the Sorbian culture also has its writers , musicians , actors , filmmakers , poets , but also painters .
Takže , jak vidíte , zkrátka všechny články kultury které známe .	So you can see that the culture is very rich .
Tato národnostní menšina má taky své vlastní specifické tradice a zvyky . To je asi typické . To je typické pro vlastně jakoukoliv kulturu .	This ethnic minority has also some specific traditions and customs , which is typical for any culture .
Ale nebudu tady do detailů teď rozebírat jednotlivé tradice Lužických Srbů .	
Spíše kdyby měl třeba někdo o pauze , kdyby to někoho zajímalo , tak budu připravena na vaše otázky .	I will not go into too much detail , but if someone was interested , I could , I could answer questions .
Ještě je potřeba zmínit , že Ústava Německa nezmiňuje menšinové národy .	I also have to mention that the German constitution doesn 't mention any ethnic minorities .
Zkrátka , Ústava , německá Ústava pouze rozlišuje výraz občan , tedy Němec .	The German constitution only has a citizen in it . A citizen means a German .
A to neznamená , že by Lužičtí Srbové neměly nějaké , nebyly nějak právně ošetřeny . Respektive ta menšina . Ale je to právně ošetřeno právě na úrovni jednotlivých spolkových zemí .	This doesn 't mean that the minority doesn 't have any legal , legal ground , but it is only on the federal , on the level of individual federal states .
Tedy na úrovni spolkových zemí Saska a Braniborska .	So this means Saxony and Brandenburg .
A já bych je chtěla ještě , tedy kromě této teoretické části , kromě toho , že jsem vám představila tu kulturu a ten jazyk . Tak bych vám zde chtěla ještě přednést a představit výpovědi přímo Lužických Srbů . Tak , jak je řekly sami o sobě a o Němcích . A naopak výpovědi Němců , jak vnímají Lužické Srby .	Besides talking about the language and the culture of the Sorbians , I would also like to present what Sorbs said themselves about their own nation and also what the , what the Germans think of the Sorbs .
A tyto výpovědi , které vám zde přednesu , jsou vlastně z dotazníků , které prováděly naši studenti .	Those statements that I will present are the result of a survey that our students conducted .
Takže naši studenti , ať už osobně nebo písemně , se tedy ptali přímo přímo lidí z této národnostní menšiny .	They asked personally the people from this minority .
Takže například Lužická Srbka , tedy žena ve věku 25 let . Lužické Srby popsala jako skromné lidi , přívětivé lidi a uvedla , že co se týče autonomie je spokojená . Nepociťuje politickou diskriminaci . A fakt , že Lužičí Srbové umí dva jazyky vidí jako výhodu .	So for example , one woman , age 25 , being a Sorb , she described the Sorbs as , as modest people and when it comes to autonomy , she is satisfied , she doesn 't feel any discrimination and she sees it as an advantage that the Sorbs know two languages .
Občas cítí ze strany Němců nedůvěřivost . A to zejména , když mluví srbštinou .	She also says that Germans usually do not trust Sorbs if they speak Sorbian .
A za za základní atributy Lužického Srba považuje náboženství a jazyk .	
Dále se vyjádřil Lužický Srb , tedy muž ve věku 40 let . A ten zdůraznuje , že v rámci Německa nemají Lužičtí Srbové žádnou autonomii .	Then one male aged ... also a Sorb , he said that Sorbs don 't have any autonomy .
Pochvaluje si tedy dotace od státu , ale nepovažuje je za dostačující .	He is quite happy with subsidies from the state but doesn 't think those are sufficient .
Také uvedl , že podle něj srbská kultura závisí na výchově rodičů a nikoli na státu . A tento muž tedy zařadil mezi hlavní atributy Lužických Srbů jazyk a pak teprve kulturu .	He also says that the Sorbian culture depends very much on each family and not on the state .
A ze strany Němců mohu citovat například jednoho respondenta . To je muž ve věku 53 let a ten si myslí , že Lužičtí Srbové mají dostatečnou míru autonomie .	From the side of Germans , I can quote one man , aged 53 .
A největší chybu nebo největší nedostatek vidí v tom , že Lužičtí Srbové nezískali žádné křeslo v Zemském sněmu . Tedy v takzvaném Landtagu , v Sasku a Braniborsku . Protože toto se povedlo například dánské menšině , zase v jiné spolkové zemi .	He thinks that the autonomy of Sorbs is sufficient and the most , the biggest disadvantage that he sees is that they didn 't get , that the Sorbs didn 't get any seat in Tag in Saxony or Brandenburg .
A takže tedy vidíme , že ani jedna strana nepociťuje , že by Lužičtí Srbové byly nějak diskriminováni . Ale samozřejmě toto byly pouze výpovědi některý- některého z mála respondentů . A samozřejmě jsme se nezeptali úplně všech .	So we can see that neither of the parties feel any discrimination towards the Sorbs , but we , of course , couldn 't ask each and every one , so this is a quite generic overview .
Takže jako vždycky i zde dochází k určitému zobecňování .	
A na závěr bych ještě ráda dodala , že Lužičtí Srbové nejsou pouze v oblasti Lužice . Tedy tam v Branniborsku a Sasku , jak již bylo zmíněno . Ale Lužičtí Srbové žijí také třeba v Drážďanách , v Lipsku , v Berlíně . A žijí i mimo Evropu . Například v Texasu . Anebo také ve státě Viktória v Austrálii . A kromě toho žijí také v Jižní Africe .	Also , we have to say that Sorbs don 't only live in Saxony and Brandenburg , but also in Dresden and other German cities , but also all around the world , in Texas in the United States , or Victoria in Australia , and also in South Africa .
Takže vidíme tedy , že jsou rozptýleni také po celém světě . A stejně tak jako účastníci dnešní konference .	So we can see that they are spread all around the world , same as the attendees of today 's conference .
Takže já vám děkuji za pozornost . A o přestávce si kdyžtak vyslechnu vaše dotazy , kdyby vás zajímalo ještě něco ke kultuře Lužických Srbů .	Thank you very much for attention and during the break I can answer some of your questions if you 're interested .
Děkuji .	Thank you very much .
