Dobrý den a nesmírně vám děkuji za pozvání i za váš úvod .	Hello and thank you for having me .
Kromě organizace tohoto festivalu ovšem , máme i několik dalších úkolů .	Besides the festival and its organisation , we have also other tasks .
Zaprvé se soustředíme na vzdělávání a také výzkum , který naše instituce provádí .	We focus on education and research that 's carried out by our institution .
Před několika lety jsme ve spolupráci ( uří- ) s pařížskou univerzitou měli možnost se soustředit na oblast antropologie . A to konkrétně na etnoscénologii .	A few years ago , together with the University of Paris , we , for example , focused on the ethnical performances .
Jedná se o zcela novou antropologickou disciplínu . Tato disciplína se zabývá rituály v jednotlivých kulturách . Zabývá se také hodnotovými žebříčky .	It 's a completely new field of study that deals with rituals of cultures and also with culture , with value ranking .
My se snažíme tuto doménu zkoumat a přinášet nějaké výsledky .	
Před několika lety jsme také vytvořili francouzské centrum nehmotného kulturního dědictví .	A few years ago we also created a French Centre of Intangible Cultural Heritage .
Toto centrum se nachází ve Francii v Bretani . A jedná se o nesmírně velké dokumentární centrum , ve kterém může najít nejrůznější uměleckou tvorbu z celého světa . Většina z této tvorby je v současnosti přístupná online .	This centre is based in France , in Bretagne , and an enormous documentary facility where you can find works from all over the world and most of these works are currently available online .
Dále také nabízíme celou řadu vzdělávacích kurzů . Snažíme se totiž propojit nemateriální kulturní dědictví a umělce jako takové .	We also offer an array of educational courses because we want to link intangible cultural heritage with artists .
Celá řada osob totiž neví , jak pracovat s nemateriálním kulturním dědictvím a jak ho zapojit do aktivní kultury .	The reason is that many people don 't know how to work with intangible cultural heritage and how to use it in art .
Snažíme se o tom tedy dostatečně informovat .	So this is something that we would like to promote .
Snažíme se také pomáhat jiným uměleckým programům a aktivitám .	We also help other artistic programs and activities .
Nabízíme například profesionální konzultace . Pokud chcete třeba zorganizovat vlastní festival . A nebo naplánovat nějaký kurz ve školách .	We offer professional consultations in case you wanted to have your own festival or a course at school .
Naši experti nám pomohou vám vymyslet , na jakou část kultury se soustředit a jak takovou akci zorganizovat .	Our experts , our professionals will help you with what segment of culture to focus on and of the organization itself .
Nemusí vždy jít o tak velké akci , jako je festival , ale klidně o menší akci .	There 's no necessity to want to found a huge festival .
Můžete se tedy informovat o našem know-how , na kterém jsme pracovali v posledních 30 letech .	
Dům světových kultur se ale dále soustředí i na jiné aktivity .	The House of World Cultures also take part in other activities .
Organizujeme například REVIE , které funguje už od roku 1994 a koná se víceméně jednou za dva roky .	We organise a revue , for example , that 's held , that 's been held since 1994 and it 's held every two years .
Soustředí se hlavně právě na nemateriální kulturní dědictví .	This revue focuses on the intangible cultural heritage .
Nyní mi ještě nakonec dovolte zmínit několik dalších našich hlavních aktivit .	To conclude , I would like to mention a few more of our activities .
Před pár lety jsme vytvořili hudební vydavatelství INEDIT .	A few years ago , we created a music label called Inedit .
V rámci tohoto hudebního vydavatelství nabízíme celou řadu kolekcí tradiční hudby .	At this label , we offer an array of musical collections .
Z největší části se jedná o ohroženou hudbu .	Most of them are cases of endangered music .
Dále ale také nabízíme samozřejmě i novou hudební tvorbu a ne pouze tu tradiční .	But we also offer new musical creation , not only the traditional .
Snažíme se tím o kulturní a diverzní obohacení .	We really want to enrich people .
Vytváříme taky zvukové archivy , které prakticky neznají hranic , protože obsahují hudební tvorbu ze všech koutů světa .	And we want to offer music as wide as , we want to provide as wide musical offer as possible .
Veškerou hudební tvorbu doprovázíme popisky , kterou které můžete najít ve francouzštině i v angličtině .	Everything is tagged in French and in English .
Tyto popisky sepisují odborníci na dané téma .	These tags are done by experts in the particular field .
Pokud je to potřeba , můžeme nabízet i překlady některých textů písní .	If necessary , we can also offer translation of some of the lyrics of the songs .
V současné době máme poměrně ohromující sbírku a jsme na ní velmi pyšní .	We are very proud of the services we can provide .
Doufám , že budete mít příležitost si pustit něco z hudby , kterou sbíráme za poslední desetiletí .	I really hope that you will have an opportunity to listen some of the music that we 've been collecting for the past decades .
Dále také doufám , že budete mít příležitost se podívat na některé z představení , které organizujeme . A že vás tento zážitek obohatí . A obohatí i váš přístup ke kulturní diverzitě .	I also hope that you will have an opportunity to see one of the performances that we organized and that it will be enriching for you and it will help you with your attitude to cultural diversity as well .
Děkuji vám za pozornost a jsem vám k dispozici , pokud byste měli nějaké dotazy .	If you have any questions , I 'm very happy to answer them .
Děkuji vám .	Thank you very much .
