Dobrý den všem .	Guten Tag an alle .
Až do konce druhé světové války písmo nebylo rozluštěno . Až do doby , kdy mladý sovětský voják našel v berlínské knihovně knihu , která ho velmi zaujala .	Bis zum Ende der Zwei- des Zweiten Weltkrieges @ war ist dies nicht gelungen , bis zum eine Gelegenheit , als ein sowjetischer Soldat in Berliner Bibliothek ein Buch gefunden hatte .
Tento voják se nazýval , se jmenoval Jurij Knorozov a jednalo se právě o zprávu o věcech na Yukatanu .	Dieser Soldat hieß Gyorgy Norsov und es handelte sich genau um dieses Buch , Bericht über die Sachen von Yucatán .
Knorozov byl student historie , tuto knihu odvezl do Sovětského svazu a tam ji začal zkoumat .	Gnorosow war ein Geschichte- , Historiestudent und er hat das Buch @ nach USSR gebracht , die USSR .
Pustil se tedy do práce rozluštění majských symbolů . V roce 1952 publikoval článek , kde vysvětloval některé principy majského písma .	Da hat er versucht , die Schrift zu entziffern und 1972 hat er , @ Entschuldigung . Danach hat er @ die @ Schrift beschrieben .
Vysvětoval tedy to , že některé ( abecedy ) symboly abecedy Diegade Landi jsou nejen písmena , ale jedná se o celá slova .	Manche @ also manche Logogrammen sind nicht nur @ Wörter , nicht nur @ Buchstaben , aber auch Wörter .
Později se tedy podařilo rozluštit další symboly a slova a dokonce i některé texty .	Und danach , Schritt nach Schritt , ist es ihm gelungen , manche Symbolen und Wörter zu entziffern .
Odborníci na majskou kulturu se ale prací tohoto mladíka příliš nenadchli .	Die Maya-Forscher haben waren nicht begeistert von der Arbeit dieses jungen Mannes .
Navíc dalším odborníkem byl Erik Thompson , který byl odpůrcem práce Juriho Knorozova .	Ein nächster Fachmann war Eric Thompson , der war ein der war ein Kritiker von der Arbeit von Yurik Norozov .
Myslel si , že jeho práce není vědecky založená .	Sagte , dass es nicht genug erodiert ist .
Samozřejmě tento problém byl také ve spojení s se studenou válkou .	Das Problem @ entstand auch in Verbindung mit dem Kalten Krieg .
Můžeme tady vidět , že světová politika hrála významnou roli také v archeologii .	Wir sehen , dass die Weltpolitik eine wichtige Rolle auch in der Archäologie gespielt hatte .
Což je věda , která se zabývá velmi vzdálenou minulostí .	Und @ diese Archäologie i- basiert eigentlich auf @ sehr weite Gesch- , sehr entfernte Geschichte .
Nicméně Erik Thompson rozluštil některé majské symboly .	
Největší práce na rozluštění majského písma začaly v 70. letech 20. století . Přispělo k této práci především americká skupina odborníků vedená Lindou Schill .	Die größte Arbeiten haben in 70er Jahren des letzten Jahrhunderts angefangen . @ Ihren Beitrag hat @ die @ amerikanische Gruppe geführt von Linda Schell @ geleistet .
Tito odborníci ( vyleštili ) vyluštili mnoho dalších neznámých symbolů z majského písma .	Diese Fachmenschen Fachleute haben @ viele Symbolen aus der Maya-Schrift entziffert .
A tak dnes díky práci mnoha výzkumníků jsme schopni přečíst velkou část majských symbolů a porozumět do určité míry majské kultuře .	Daher können wir heute ein großer Teil der Maya-Symbolen lesen können und die Kultur verstehen können .
Zatím máme před sebou mnoho práce , ale už nějaké znalosti o majské kultuře díky rozluštění jejího písma máme .	Vor uns liegt noch viel Arbeit , aber es gibt schon Kenntnisse über die Maya-Kultur dank der Entzifferung der Schrift .
Jak už jsem řekla , majština se používala pro popisování života lity a popisování náboženství .	Wie gesagt , @ man hat mit dieser Schrift @ zu erzählen über Elitenleben oder über Religion .
A tak možná nikdy nebudeme vědět , jak vypadal život běžných obyvatel , kteří používali májštinu jako svůj jazyk .	Das heißt , vielleicht werden wir nie @ erfahren , wie das Leben der einfachen Menschen sah aussah .
Já jen doufám , že v budoucnu se nám podaří rozluštit mnohem více a poznat více o této vzdálené a zvláštní kultuře .	Ich hoffe nur , dass in der Zukunft gelingt uns , viel mehr Symbole zu entziffern und auch viel mehr zu erfahren über diese weite , interessante Kultur .
To je vše z mé strany .	Das ist von meiner Seite alles .
Děkuji , že jste mě vyslechli a doufám , že jste se něco zajímavého naučili .	Ich hoffe , dass Sie @ viel Neues erfahren haben .
Děkuji .	Danke schön .
