Perfekt .	S tlumočením do češtiny .
Manche Menschen behaupten , es sei eine Arbeitslage gewesen , für die Menschen , die sich geweigert haben , zu arbeiten .	Někteří tvrdí , že se jedná o pracovní tábor pro takové lidi , kteří nechtěli pracovat .
So sagt zum Beispiel der Tomio Okamura oder der Premierminister Andrej Babiš .	To například tvrdí Okamura , anebo i premiér Andrej Babiš .
An dieser Stelle möchte ich deutlich machen , dass sich diese Personen , wenn sie so etwas sagen , sehr ehren .	Na tomto místě bych chtěla zdůraznit , že osoby , kteří něco takového tvrdí , se mýlí .
Am 2.8.1932 hat sich das Arbeitslager Lety in ein Zigeunerlager gewandelt .	V roce 1932 se pracovní tábor Lety stal táborem pro Rómy .
Die Liste der Inhaftierten basierte auf Zigeunerlisten aus den 20er Jahren .	
Die Roma wurden damals mit den Juden auf eine Ebene gestellt .	Rómové tehdy byly spolu postaveny na stejnou úrovni jako Židé .
Viele überlebten in den harten Bedingungen der Lager nicht .	Mnozí z nich tento tábor nepřežili .
Anderen andere wurden nach Auschwitz-Birkenau deportiert .	Další poté byli posláni do táborů Osvětim Přezinka .
Von mehr als 1.300 Personen , die in Lety inhaftiert wurden , überlebten nur 300 .	Pouze 300 osob přežili od 2000 , kteří se v tomto táboře ocitli .
Und das war keineswegs das einzige Zigeunerlager auf dem Territorium des heutigen Tschechiens .	Nebyl to jedinečný případ na oblasti Čech .
Damit bin ich zu der Tatsache gekommen , dass der Antiziganismus leider bis zur heute überlebt hat .	Bohužel musíme konstatovat , že anticikanismus existuje dodnes .
Wer die Gleichstell- Gleichsetzung von Roma-Verfolgung und Juden-Verfolgung bestreitet , handelt in- antiziganistisch .	Kdo popírá , že pronásledování Židů není totéž jako pronásledování Romů , chce přepsat dějiny .
Es ist allerdings kein vereinzeltes Beispiel des Antiziganismus , den wir heute beobachten .	Anticikanismus existuje dodnes .
Der Antiziganismus hat viele Formen .	Má nejrůznější formy .
Ich persönlich bin eine deutsche Staatsbürgerin , geboren bin ich allerdings in dem tschechischen Grenzgebiet .	Já osobně jsem mám německé občanství a vyrůstala jsem v pohraničí Německa .
Als ich zwölf Jahre alt war , trafen meine Eltern die Entscheidung nach Deutschland umzuziehen .	Když mi bylo 12 let , rozhodla se moje rodina , že se přestěhujeme do Německa .
Mein Vater ist Roma und hat sich dafür für eine sehr lange Zeit geschämt .	Bratr se dlouhodobě za svou romskou identitu styděl .
Als wir in Tschechien lebten , haben wir viel Böses erlebt .	Když jsme žili v Německu , stalo stalo se nám mnoho zla .
Immer als wir in ein Geschäft gingen , wurden wir kontrolliert , ob wir nicht gestohlen haben .	Když jsme chtěli jít do obchodů , byli jsme kontrolováni .
Ständig wurden wir von den Bewachern verfolgt und beobachtet .	Neustále nás sledovali .
In der Schule haben mich manche Lehrer anders als meine Mitschüler behandelt und von manchen meiner alten Freunde , alten Roma-Freunde , weiß ich , dass es oft ein Problem ist , in einen Club eingelassen zu werden , Arbeit oder Wohnung zu finden , wenn man Roma ist .	Ve škole někteří učitelé semnou jednali jinak než se spolužáky . A někteří z mých starých přátel romských vědí také , že je mnohem těžší pro nás najít bydlení či dostat přístup do nějakého klubu .
Man wird als Roma in Tschechien auch oft beleidigt und die Stereotypen sind allgegenwärtig .	V Česku nás mnohokrát urážejí .
Das ist allerdings nicht alles .	Ale to ještě není vše .
Es fanden und finden immer wieder neonazistische Märsche und Pogrome gegen Roma statt .	Stále dochází k různým neonacistickým programům .
Höhepunkte waren Serien von Demonstrationen auf dem tschetschen Gebiet im Jahren 2011 und 2013 unter der Führung der rechtsextremen Partei DSSS .	Vrcholy byly některé demonstrace mimochodem i v Česku v letech 2012 a 2013 . Například stála Česká strana DSSS .
Bei diesen Demonstrationen , die durch Roma-Viertel führten , kei- waren keinerlei nur die Neonazis dabei , sondern auch einfache Bürger .	Zúčastnili se nikoli pouze neonacisté , ale i také běžní občané .
Das ist alarmierend . Im Bildung- Bildungssystem sieht es nicht besser aus .	Co se týče vzdělovacího systému , tam to vůbec nevypadá lépe .
50 % der Roma-Kinder werden unabhängig von ihrer tatsächlichen Intelligenz in Sonderschulen geschickt .	75 % dětí , romských dětí , se učí ve zvláštních školách a to nehledě na jejich schopnostech .
Und derzeit benutzt man den Begriff nicht anpassungsfähig als das Wort , um Roma zu- auszugrenzen .	
Kommen wir jetzt zu den Lösungsszenarien .	A nyní se dostaneme tedy k možným řešením .
In Tschechien gibt es eine geringe Teilnahme der Roma-Kinder an der Vorschulerziehung .	V Česku je malá účast dětí , co se týče předškolního vzdělávání .
Nur etwa ein Drittel der Roma-Kinder besucht den Kindergarten .	Pouze třetina chodí do školky .
Da ist schon mal der Anfang dem Teufelskreis gesetzt .	Takže tím začarování kruh už začíná .
Die Kinder werden nicht gefördert und das zeigt sich später ganz deutlich an geringen Abschluss- Abschlussquoten .	Protože děti nejsou podporované . To se poté ukazuje také u nízké kvóty ukončení školy .
Nur etwa 15 Prozent der befragten Erwachsenen Roma im Alter von 20 bis 24 Jahren haben die Sekundarstufe oder eine Berufsausbildung abgeschlossen .	Pouze čtvrtina romských občanů mají na začátku dvacátých let dokončenou střední školu .
Mit einem Grundschulabschluss ist es natürlich schon schwierig , einen Job zu bekommen und erst noch , wenn sie Roma sind .	A tím je mnohem těžší najít nějakou práci . A tím spíše , když jsou romové .
So kann man kaum wettbewerbsfähig sein . Über die Hochschulausbildung ist gar nicht zu sprechen .	Co se týče výsledku školského vzdělání , o tom se už ani nedá mluvit .
Die Haltung der Mehrheit ist tatsächlich ein Hindernis .	
Viele Lehrer und Nicht-Roma-Eltern denken , dass ein gemeinsamer Unterricht von Roma- und Nicht-Roma-Kindern die St- @ Standards und Leistungen absenken würden .	Mnoho učitelů a další si myslí , že romové ve vzdělávacím systému by snížili standardy .
Es ist aber belegt , dass dies nicht der Fall ist .	Je ovšem dokázané , že tomu tak není .
Dagegen , die Segregation bedeutet für die Roma schlechte Ler- Lernbedingungen .	V současné době mají romové špatné podmínky v učení .
Es führt zur Ausgrenzung und zur sozialen Margi- Marginalisierung der Roma-Kinder .	Vede to k vyčlenění a k marginalizaci romů .
Die Lehrer behandeln diese oft anders , indem sie von ihnen nicht viel erwarten und sie oft entlasten .	Učitelé s nimi častokrát jednají jinak . Protože od nich nic neočekávají .
Dies darf nicht mehr geschehen .	To tak nesmí být .
Eine wichtige Lösung stellt auch die Inklusion der Roma-Kinder in ... die @ Kindergarten .	Další důležité řešení představuje inkluzi romských dětí do školek .
Dafür gibt es zum Glück schon Umsetzungsstrategien . Ich habe gehört , dass es eine @ auf Tschechisch verfasste Diplomarbeit gibt mit dem Namen Roma-Kinder in der tschechischen Schule .	Jsem ráda , že zde již existují strategie na zavedení takového opatření . v Česku existuje program s názvem Romské děti v českých školách .
Ich empfehle diese allen Teilnehmer der Konferenz ganz herzlich .	Tento program vám vřele doporučuji .
Am Ende möchte ich allerdings sagen , dass der Kampf gegen Armut und soziale Ausgrenzung , denen viele Roma in ganz Europa ausgestellt sind , kann nur wirksam bekämpft werden , nur wirksam erfolgreich sein , wenn auch der tief verwurzelte Antiziganismus bekämpft wird .	Na konci bych ovšem chtěla říct , že chudoba a vyčlenění , které kterému čelí Romové v celé Evropě , to můžeme překonat pouze tehdy , když i hluboce zakotvené anticikanismus bude překonáno .
Dankeschön .	Děkuji za pozornost .
