Pro mě byla zatím velice zajímavá , takže se budu snažit mluvit také zajímavě .	Bien , ya hemos solucionado el problema .
Podle nás je úplně jedno , jak starý je člověk . Jakého je člověk pohlaví , jaké jakou má sexuální orientaci , nic z toho nehraje roli v v podniku . Je jedno , odkud člověk pochází , jaké je národnosti , jakého je náboženství nebo zdá má nějaký handicap . Rozmanitost , ta nám dává přidanou hodnotu .	Según nosotros importa la edad de las personas , la orientación sexual , la nacionalidad , la religión , su origen étnico , el género , lo que sea . Nada importa porque los colegas se respetan independientemente de estos aspectos , porque la diversidad es un valor a nuestro trabajo .
Rozmanitost nám zajišťuje rozmanitá řešení . A ukazuje nám to rozmanité trhy .	La diversidad @ nos equipa con soluciones diversas y nos muestra mercados diversos y variados .
Také je vhodná pro rozmanité zákazníky .	También la diversidad @ perfecta para los clientes que varían y que son muy diversos .
Podniky , které podepsaly naši Chartu , ty tyto výhody již poznaly a já jsem opravdu ráda , že tomu tak je .	Las empresas que se han unido a nuestra carta ya han encontrándose ya se han encontrado con los beneficios de nuestra carta .
Tyto podniky milují takzvanou diversity nebo rozmanitost .	
A Charta rozmanitosti je v podstatě to , jak to ukazují navenek .	La carta de la diversidad es como parece .
Abych nemluvila jenom abstraktně , předložím vám příklad .	Y para no hablar de manera absurda , les doy un ejemplo .
Co se týče výběrových procesů pro uchazeče , se mnoho podniků snaží tyto výběrová řízení modifikovat .	En cuanto a los procesos de selección de los interesados en el puesto de trabajo , muchas empresas quieren modificar @ estas- estos procesos del- de selección .
Snaží se je oprostit od stereotypů .	Quieren @ terminar con los estereotipos .
Jedním takovým podnikem , který také podepsal tuto chartu , je filma Telekom .	Uno- una de estas compañías que también ha firmado la carta es la compañía Telecom .
Telekom sází na přístup a na výběrové řízení , které se odvijí od talentu .	Apuestan en el proceso de selección basándose en el talento de las personas .
Nejde tedy o průměr známek , jde o talenty jednotlivce , o zájmy a o silné stránky uchazečů .	Entonces , no importa las notas que uno gane , sin embargo , lo que importa es el talento y los intereses de los interesados .
Ve výběrovém řízení mohou ukázat mladiství své talenty a ty to mohou dále rozvíjet .	También esto permite apoyar a las personas que pueden de esta manera desarrollar sus talentos y sus capacidades .
Také ti , kteří například nemají velmi velké vzdělání , mohou uspět v tomto výběrovém řízení . Kdo je úspěšný právě v tomto výběrovém řízení , může počítat se vzděláním právě v rámci společnosti Telekom .	También las personas que no tengan el nivel de enseñanza tan alto , pueden s- tener éxito en este proceso de selección laboral , y quien tiene éxito puede contar con el apoyo de la compañía Telecom en su desarrollo profesional .
A to je výhoda .	
Německo se v posledních letech dramaticky změnilo . Německo se stalo barevnějším .	Alemania en los últimos años ha cambiado muchísimo , se ha convertido en un país más diverso .
Je to na jednu stranu hospodářská výhoda , ale je to také společensko-politická výhoda .	Y esto es un beneficio no solo político , sino también @ sociocultural y sociopolítico .
Je důležité zdůraznit , že tento potenciál , tato silná stránka , kterou tady máme , částečně zůstává nevyužita .	Sin embargo , cabe destacar que este potencial @ se usa de manera correcta .
Populace se může podrobovat různým konferencím a kampaním .	La población puede verse afectada por varias campañas llevadas a cabo en el país .
Iniciujeme také celoněmecký takzvaný Den Diverzity . Ten se bude konat i 26. května 2020 , a to po 8 .	Nosotros apoyamos y @ estamos en acuerdo con el Día Internacional de la Diversidad , que el día 21 de mayo se celebrará el octavo aniversario de este día en Alemania .
V tento den instituce ukazují , jak se veřejně angažují .	Este día se demuestran las empresas alemanas .
Minulý rok se předvedlo přes 700 podniků .	El año pasado se presentaron más de 600 empresas .
Tentokrát se den diverzity bude konat digitální cestou .	Este año el día se celebrará de manera virtual .
Bude se konat určité online akce . Můžete si o nich přečíst také na našich webových stránkách .	Y habrá muchas actividades de las que pueden leer en nuestra página www ...
Chartadiafeelfact.de.	
Člověk se tam může inspirovat .	
Kromě toho jsme také vytvořili takzvané diversity bingo , tedy určitou hru a také vědomostní hru . V této hre hře se například dozvíte , kdy bylo v Německu uzákoněno třetí pohlaví .	También hemos elaborado el bingo de la diversidad y otro juego en línea donde pueden aprender cuándo @ fue legalizado en Alemania el tercer género , mejor dicho , el hetero aliado .
Co znamená označení a pojem straight ally .	
A také se dozvíte , kolik lidí , kolik Němců má nějakou migrační historii za sebou .	Y también aprenderán cuántas personas , cuántos alemanes @ disponen de una historia @ de migración .
Toto existuje také v angličtině , takže já vám tuto hru opravdu srdečně doporučuji .	Y disponemos de esta historia en inglés también , entonces , se las recomiendo .
Na závěr svého příspěvku bych také chtěla upozornit na to , že co se týče věku , i zde máme ještě mnoho práce , co se týče rozmanitosti . A to , hlavně z hlediska takzvaného demokratického převratu , který zažíváme .	Antes de terminar , quisiera decir que en cuanto a la edad , tenemos mucho trabajo por delante en cuanto a la edad sobre todo por el punto de vista de la transformación demográfica .
Mládí se od stáří může mnoho naučit , ale funguje to i naopak . Nesmí docházet k nějakému poučování .	Los jóvenes pueden aprender muchísimo de las personas mayores y jubiladas , sin embargo , esto debería funcionar al revés también .
Je potřeba si informace vyměňovat .	Sin embargo , hace falta intercambiar idiomas .
Dříve to bylo tak , že jeden věděl všechno , protože byl starší a ten mladý nevěděl nic .	Antes , los mayores lo sabían todos , sin embargo , los jóvenes no sabían nada .
Tak to dnes ale není . Pokud máme smíšený tým , pak jsou lidé mnohem úspěšnější .	Hoy en día , si disponemos en la empresa de un grupo de trabajo , tenemos más éxito porque compartimos las informaciones y las ideas , y todo el mundo en el equipo lo sabe todo .
Kromě toho existují ještě hrozné stereotypy o tom , že se staří lidé nemohou tak dobře učit .	
Ale já tvrdím , že vzdělávání je celoživotní . Jak jsem již řekla , příliš málo podniků využívá tento potenciál rozmanitosti .	Yo creo que la enseñanza es una cuestión de toda la vida , y po- solo pocas empresas usan y disponen del potencial de la diversidad .
Já si myslím , že to záleží na tom , že lidé mají předsudky . A lidé mají strach z cizího a z rozdílu .	Yo creo que todo esto depende @ de que si las personas tienen o no tienen prejuicios y si temen o no temen las diferencias .
Zde máme opravdu ještě hodně prostoru pro zlepšení .	Sin embargo , @ podemos mejorar , todo se puede mejorar , todo se puede cambiar .
Myslím , že právě dnes , když existují mnohá politická ( vnutí ) hnutí , která reagují proti rozmanitosti , tak právě dnes je důležité se tomuto posavit .	Hay muchas iniciativas que reaccionan a la situación y están a favor de la diversidad .
Je důležité lidi tohoto strachu z rozmanitosti zbavit .	
Je důležité lidem ukázat , co skvělého rozmanitost obnáší a co všechno může rozmanitost způsobit .	Hoy en día está muy importante , es muy importante mostrarles a todas las personas que la diversidad es algo beneficioso y que es algo que puede traernos muchas cosas positivas .
Co můžeme díky rozmanitosti dokázat .	Nos puede mostrar , podemos lograr gracias a la diversidad .
A musí se to odvíjet od nás samotných .	Sin embargo , todo debe salir de nosotros mismos .
Musíme si být vědomi , že opravdu můžeme něco změnit . A i kdyby to znamenalo jenom utáhnout jeden malý šroubek , tak to můžu udělat , abych mohla přispět k rozmanitosti .	Nosotros deberíamos ser conscientes de que nosotros sí que podemos cambiar algo , la cosa sea lo más pequeño que sea , lo más pequeño que sea , pero cambiar algo .
Děkuji .	Gracias .
