Pro mě byla zatím velice zajímavá , takže se budu snažit mluvit také zajímavě .	So this conference has been interesting for me . And I will try to be interesting as well .
Podniky , které podepsaly naši Chartu , ty tyto výhody již poznaly a já jsem opravdu ráda , že tomu tak je .	The businesses that signed our charter clearly see the advantages and they have seen them in action .
	I 'm very happy that that is the case .
Tyto podniky milují takzvanou diversity nebo rozmanitost .	These businesses love diversity .
A Charta rozmanitosti je v podstatě to , jak to ukazují navenek . Abych nemluvila jenom abstraktně , předložím vám příklad .	And the charter of diversity is , and signing it is the way they show it to the world .
Co se týče výběrových procesů pro uchazeče , se mnoho podniků snaží tyto výběrová řízení modifikovat .	Specifically , as far as regards the selection processes for applicants , many businesses try to modify these procedures .
Snaží se je oprostit od stereotypů .	Businesses try to remove stereotypes from the decision-making .
Jedním takovým podnikem , který také podepsal tuto chartu , je filma Telekom .	Telekom , this company , is one of the companies that signed the charter too ..
Telekom sází na přístup a na výběrové řízení , které se odvijí od talentu .	Telekom has selection procedures based on talent is not a grade average .
Nejde tedy o průměr známek , jde o talenty jednotlivce , o zájmy a o silné stránky uchazečů .	It is about a person 's talents , their interests , and their strong aspects .
Ve výběrovém řízení mohou ukázat mladiství své talenty a ty to mohou dále rozvíjet .	In the selection process , young people may showcase their talents and hint at their further development .
Také ti , kteří například nemají velmi velké vzdělání , mohou uspět v tomto výběrovém řízení .	Also , those who , for example , do not , haven 't had great education may end up succeeding in these selection procedures .
Kdo je úspěšný právě v tomto výběrovém řízení , může počítat se vzděláním právě v rámci společnosti Telekom .	And people who are successful in these procedures will be educated in Telekom .
A to je výhoda .	And that is a great advantage .
Německo se v posledních letech dramaticky změnilo .	Recently , Germany has changed substantially .
Německo se stalo barevnějším .	It became more colorful .
Je to na jednu stranu hospodářská výhoda , ale je to také společensko-politická výhoda .	From one point of view , it 's an economic advantage , but it 's also a political and social advantage .
Je důležité zdůraznit , že tento potenciál , tato silná stránka , kterou tady máme , částečně zůstává nevyužita .	It is important to emphasize that this potential may and remains partially unused .
Populace se může podrobovat různým konferencím a kampaním .	The population may have or hold campaigns and other initiatives .
Iniciujeme také celoněmecký takzvaný Den Diverzity . Ten se bude konat i 26. května 2020 , a to po 8 .	There will be a diversity day held on the 26th of May , 2020 . That is the eighth diversity day .
V tento den instituce ukazují , jak se veřejně angažují .	Institutions continue to show their efforts in diversity there .
Minulý rok se předvedlo přes 700 podniků . Tentokrát se den diverzity bude konat digitální cestou . Bude se konat určité online akce .	Several hundred companies were present last year on the Diversity Day , but this year , it , there will be a digital space for the Diversity Day .
Můžete si o nich přečíst také na našich webových stránkách .	You may read about this on our website .
Chartadiafeelfact.de.	It is chartadervieltfalt.de.
Člověk se tam může inspirovat .	And you may even be inspired by going there .
Kromě toho jsme také vytvořili takzvané diversity bingo , tedy určitou hru a také vědomostní hru .	We also developed Diversity Bingo , that is a game and also a fact-based game .
V této hre hře se například dozvíte , kdy bylo v Německu uzákoněno třetí pohlaví .	In this game , you 'll find out when in Germany a third gender was made legal .
Co znamená označení a pojem straight ally .	What does it mean to tell someone they 're a straight ally ?
A také se dozvíte , kolik lidí , kolik Němců má nějakou migrační historii za sebou .	You 'll also find there how many Germans have a history of migration .
Toto existuje také v angličtině , takže já vám tuto hru opravdu srdečně doporučuji .	These games are also available in English , so I would really like to recommend it to you .
Na závěr svého příspěvku bych také chtěla upozornit na to , že co se týče věku , i zde máme ještě mnoho práce , co se týče rozmanitosti .	To conclude my speech , I would also like to say that as far as age is concerned , we still have a lot of work ahead of us as regards diversity .
A to , hlavně z hlediska takzvaného demokratického převratu , který zažíváme .	Especially due to something called the democratic , democratic overthrow .
Mládí se od stáří může mnoho naučit , ale funguje to i naopak .	Young people now lecture old people , but they have to exchange information .
Nesmí docházet k nějakému poučování .	
Je potřeba si informace vyměňovat .	
Dříve to bylo tak , že jeden věděl všechno , protože byl starší a ten mladý nevěděl nic .	It used to be the case that old people knew everything because they were old , and young people knew little .
Tak to dnes ale není .	But the situation is different now .
Pokud máme smíšený tým , pak jsou lidé mnohem úspěšnější .	And if you have a mixed team , then it is much more successful .
Kromě toho existují ještě hrozné stereotypy o tom , že se staří lidé nemohou tak dobře učit .	There are various horrible stereotypes , for example , that old people can 't learn as much as young people can .
Ale já tvrdím , že vzdělávání je celoživotní .	But I think that education is a lifelong thing .
Jak jsem již řekla , příliš málo podniků využívá tento potenciál rozmanitosti .	And many companies are using the potential diversity has .
Já si myslím , že to záleží na tom , že lidé mají předsudky . A lidé mají strach z cizího a z rozdílu .	People are prejudiced . They 're afraid of what is foreign and alien to them .
Zde máme opravdu ještě hodně prostoru pro zlepšení .	So we have to work hard to eliminate that .
Myslím , že právě dnes , když existují mnohá politická ( vnutí ) hnutí , která reagují proti rozmanitosti , tak právě dnes je důležité se tomuto posavit .	I think that especially today , where there are many political movements reacting against diversity , then we have to face this . We have to tackle this .
Je důležité lidi tohoto strachu z rozmanitosti zbavit .	People must lose this fear of diversity .
Je důležité lidem ukázat , co skvělého rozmanitost obnáší a co všechno může rozmanitost způsobit .	People must be shown the greatness of diversity . And all that diversity can help them achieve .
Co můžeme díky rozmanitosti dokázat .	
A musí se to odvíjet od nás samotných .	But this has to come from us .
Musíme si být vědomi , že opravdu můžeme něco změnit .	We need to be aware that we can make a difference .
A i kdyby to znamenalo jenom utáhnout jeden malý šroubek , tak to můžu udělat , abych mohla přispět k rozmanitosti .	And if it 's just a small change that we can make , then we have to make it to contribute to diversity .
Děkuji .	Thank you for your attention .
