Dobrý den , budu ještě sdílet obrazovku se svojí prezentací . Všichni vidíte ?	Bonjour , je vais partager mon écran . Est-ce que vous voyez la l' écran avec ma présentation ?
Pojďme se tedy podívat na to , co ženy prožívají za dramatické zážitky .	Voyons maintenant quelle est l' expérience des femmes du traumatisme de l' accouchement ...
Ženy mohou prožívat tyto zážitky před porodem , během porodu i po porodu .	Il s' agit des expériences avant , lors de l' accouchement , mais aussi l' apr- après l' accouchement .
Nejsou to ale vždy pouze nějaké dramatické události . Ale může to být také ztráta kontroly , ztráta důstojnosti , nebo nepřátelské chování jejich okolí .	Il s' agit pas des expériences , des événements drama- dramatiques , mais cela peut aussi être la perte de contrôle , la perte de dignité ou l' environnement hostile .
Dále to také může být pocit , že jim není nasloucháno . A nebo že jim chybí informovaný souhlas s lékařskými zákroky .	Ça peut être aussi le sentiment que les aut- saut- les autres n' écoutent pas ou qu' il s' agit du traitement sans consentement ...
To znamená , že to porodní trauma může být způsobeno mnoha mnoha věcmi .	Cela veut dire que le traumatisme de l' accouchement peut être causé par plusieurs raisons , par plusieurs facteurs .
Například to může být také vyvoláním porodu a nebo nastřižením . Může to být tím , že například na nich byly proveden císařský zákrok a nebo že jim nebylo nasloucháno . Také to může být tím , že nebylo rodičkám poskytnuto dostatek informací .	Par exemple , le déclenchement du travail , ou bien l' épiz- l' épiziotomie qui peuvent jouer un rôle important , ou bien l- la césarienne . Un autre une autre raison , ça peut être le fait que les autres n' ont pas écouté ou les parturientes n' ont pas été suffisamment informées .
Ženy se samozřejmě obávají i o bezpečí svého dítěte .	Les femmes , bien sûr , ont peur pour leur enfant et leur sécurité ...
A je samozřejmě i nebezpečí toho , že se dítě narodí mrtvé , což je velmi traumatizující .	Il y a aussi la possibilité d' un enfant qui s- qui est né mort .
Ale také to , že ženy ztratí důstojnost a kontrolu , může způsobit toto trauma .	Mais aussi il s' agit de la peur de perdra le dignité de perdre la dignité . Tout ça peut contribuer à ce trouble .
Velkým faktorem může být také to , že ve své minulosti už zažily podobné trauma nebo jiné trauma . Ženy , které toto trauma zažijí a které jsou jim ovlivněny bohužel často nemají kam se obrátit .	Un autre facteur très important , c' est le fait que les femmes ont déjà fait l' expérience de ce t- de cette espèce du traumatisme de l' accouchement . Les femmes qui ont fait un expéri- une expérience @ ne savent pas souvent à qui s' adresser .
V jejich okolí mu často nedokáže porozumět .	Les autres ne savent pas les comprendre .
Často mohou být osamocené a můžou mít deprese . A výsledkem je , že se cítí opravdu , mají velké pocity viny .	Souvent les femmes sont isolées ... et le résultat c' est que les femmes se sent coupables ...
Nemohou zastavit myšlenky na to , jak jejich porod probíhal a jaké trauma zažily .	Elles ne savent pas per les idées , les expériences de l' accouchement et du traumatisme qu' elles ont vécu .
Bohužel to , že takovýmto , ženám není poskytnuta podpora , tak to má velmi špatné důsledky .	Malheureusement , il n' y a pas suffisamment de soutien , d' assistance pour ces femmes . Les conséquences sont graves .
Ženy například už zvažují , jestli si pořídí další dítě , jsou vystrašené z dalšího těhotenství .	Les femmes rénoncent ... à avoir un nouveau bébé ou elles ont peur de devenir enceintes .
Některé ženy se také naprosto začnou vyhýbat všem doktorům a všem lékařským zákrokům .	Les femmes évitent tous les actes médicaux , tous les médecins .
A pro většinu žen je asi největší trauma to , že mají problémy návázat pouto se svým dítětem .	Pour la majorité des femmes , le traumatisme le plus important , c' est qu' il est très difficile de trouver un lien avec leur bébé ...
A co může být trošku šok , je , že až 45 novopečených matek říká , že zažilo nějaké traumatické zážitky z porodu .	Ce qui peut être un peu choquant , ... 45 peurcent des femmes , des mères , déclarent qu' elles ont fait l' expérience traumatique liée à l' accouchement .
Myslím , že když se zabýváme porodním traumatem , tak je důležité mluvit také o porodnickém násilí .	Si l' on parle de ce sujet là , il faut mentionner également l' agression sexuelle l' agression obstétricale plutôt ...
Samozřejmě , že porodnické násilí je něco , čemu se dá zabránit .	Bien sûr , les violences obstétricales est un phénomène qui peut être prévenu .
A můžeme tak zabránit i tomu porodnímu traumatu .	De cette façon , l' on peut réduire le traumatisme de l' accouchement .
Porodnické násilí je hrubé chování zdravotnického personálu k rodičkám .	Les violences obstétricales , @ pour définir , est est un comportement du personnel obstétrical irrespectueux vers les parturientes .
WHO ještě nevydalo nějakou oficiální definici , nicméně většinou se definuje jako zanedbávající fyzicky hrubé a nebo neuctivé zacházení s rodičkami ze strany zdravotnického personálu .	On n' a pas encore une définition précise @ de la part des autorités officielles . Souvent , l' on dit qu' il s' agit d' un comportement irrespectueux ou néglige- négligeant de la part du personnel obstétrical v- envers les parturientes .
A toto samozřejmě porušuje lidská práva ženy .	Bien sûr , cela viole les droits de la femme ...
Je to systémové a institucionální násilí .	Il s' agit @ d' une violence systématique et institutionnalisée .
Může být způsobeno buď tím , že opravdu ten personál chce být násilný , ale zároveň i tím , že se to ani neuvědomuje .	Les causes sont nombreuses . Le personnel v- , par exemple , veut être violent , mais souvent ils ne s' en @ rend pas compte .
Ale chová se k těm rodičkám nevhodně .	
Bohužel často je toto chování normalizováno a považováno za běžné .	Malheureusement , ce comportement est souvent considéré comme normal ...
V porodnicích jsou zažité postupy a hierarchie , které mohou poté působit právě to , že je toto chování bráno za normální .	Dans les maternités , il y a une hiérarchie donnée et des procédures définies qui causent que ce comportement est considéré normal .
Například , co může být příkladem porodnického násilí , je vaginální prohlídka bez souhlasu rodičky . Nucení do císařského řezu , fyzické bránění porodu . Také to , že jsou rodičky nuceny do vyvolání porodu , k nastřižení a nebo císařského řezu .	Pour vous donner quelques exemples des violences obstétricales , ce sont des examens vaginaux sans consentement , @ ou la césarienne forcée , puis ça peut être @ la la prévention de l' accouchement @ physique , @ le déclenchement du travail forcé , l' épisiotomie forcée , tout cela .
Zároveň to může být to , že nejsou rodičky ze strany personálu informovány a nedají svůj souhlas k určitým zákrokům .	En plus , ça peut être aussi le fait que les parturientes ne sont pas informées , ne donnent pas leur consentement pour certains actes médicaux .
A zároveň to může být také neuctivé jednání s rodičkou a neuznání její autonomie . To znamená , že se k ní chovají bez respektu .	Ça peut être aussi un comportement irrespectueux vers la parturiente et le fait que son indépendance et son autonomie n' est pas reconnue par le personnel .
Chtěla bych se s vámi podělit i o výsledky velmi zajímavé studie , která byla provedena v roce 2017 .	Moi , je voumerais vous citer quelques quelques résultats d' une étudé d' une étude publiée en 2017 .
Data v ní zpracována byla se sbíraná v březnu roku 2016 .	Les données dans cette étude ont été collectées au au mois de mars 2016 ...
Zapojilo se do ní 2192 žen .	2 192 femmes ont participé à cette étude .
Byla to retrospektivní studie , která se ptala žen na to , jaké měly zážitky u porodu .	Et il y avait plusieurs questions relatives au à l' expérience liée à l' accouchement .
Co tam tedy zažívaly a byly to zážitky od roku 2005 do roku 2016 .	Il s' agissait des expériences depuis 2005 jusqu' au jusqu' en 2016 .
Žen se nejprve ptali , čemu přisuzují vinu za ty traumatické zážitky , které při porodu zažily .	La première question @ qui se posait c' était la cause @ du traumatisme de l' accouchement .
Poté se jich ptali , co podle nich mohlo zdravotnický personál udělat jinak , aby se tomu traumatu vyhly .	Ensuite , quels étaient les aspects qui pourraient être améliorés de la part du personnel obstétrical pour éviter le traumatisme ?
A za třetí , co oni sami mohly udělat jinak , aby traumatu předešly .	Ensuite , @ quel étaient les aspects que les parturientes elles-mêmes pouvait améliorer pour éviter le traumatisme ?
Já bych tedy ráda začala tu první otázkou , čemu ženy přisuzují vinu za traumatické zážitky .	Alors , je commence par la première question , les causes du traumatisme .
Jak můžete vidět v tabulce , tak velmi často , nebo nejčastěji , to byla ztráta kontroly nebo nedostatek kontroly .	Comme vous voyez @ dans ce tableau , ... le facteur le plus souvent cité , c' était la perte @ du contrôle .
Tak to se vyjádřilo 54,6 % žen .	54,6 pourcent des femmes @ l' ont déclarée comme la raison principale .
Za druhé zde máme strach o zdraví dítěte a nebo o jeho život . To bylo 49,9 % .	Puis c' était la peur pour la vie de l' enfant , 49,9 pourcent .
Za třetí zde máme velmi intenzivní bolest a nebo fyzické nepohodlí .	Le troisième raison , c' était la douleur intense ou l' inconfort physique .
Tak to se vyjádřilo 47,4 % žen .	47,4 pourcent des femmes interrogées ...
Zároveň ženy také říkaly , že to byla komunikace , respektive to , že s nimi nebylo komunikováno a že jim nebyly vysvětlovány ty zákroky , které na nich byly prováděny .	Puis , les femmes ont aussi évoqué la communication insuffisante et les explications insuffisants de la part du personnel obstétrical ...
Dále ženy říkaly , že to byla právě ta ztráta kontroly , ztráta autonomie , to , že nebyly respektovány .	Puis , les femmes ont aussi déclaré que ... la perte du contrôle et la perte de l' autonomie et le fait que le personnel ne les respectait pas .
A také nedostatek podpory ze strany partnera .	Ensuite , c' était le soutien insuffisant de la part @ du conjoint ...
Myslím , že to , co bychom si tady z tohoto výzkumu měli odnést , je , že ženy většinou připisují to trauma právě k tomu , že ztratily kontrolu . A že neměly dostatek emocionální podpory .	Je crois que il faut en tirer une conclusion importante . C' est la conclusion suivante . Les femmes pensent que le traumatisme est dû à la perte du contrôle , le plus souvent , et l- le soutien insuffisant .
Pojďme se podívat na další část tohoto výzkumu .	Maintenant , regardons l' autre partie de cette étude .
Zde se žen ptaly , co by podle nich jejich ošetřovatelé mohli udělat lépe , aby nezažily toto trauma .	La question qui traitait des aspects qui pouvaient être améliorés par le personnel obstétrical pour éviter justement ce traumatisme de l' accouchement .
A zhruba 12 % žen řeklo , že se nedá dělat nic .	12 personnes , @ des femmes interrogées , ont déclaré qu' il n' était possible de faire rien ...
Nicméně , co ženy říkaly , že by měly dělat lékaři , je , že by měly komunikovat a vysvětlovat .	Pourtant , les femmes ont dit qu' il faudrait que le médecin communique et explique plus .
To řeklo 39,1 % žen .	C' était 39,1 pourcent .
Další přání bylo , aby jim více naslouchali . Toto si přálo 36,9 % žen .	Puis , 36,9 pourcent des femmes ont déclaré qu' il faudrait que les autres écoutent mieux .
Zároveň si ženy přály , aby je zdravotnický personál více podporoval , aby je lépe podpořil .	Puis , beaucoup de pers- de beaucoup de femmes ont aussi souhaité de recevoir un soutien plus important de la part des autres .
Jak emocionálně , tak i prakticky . A to bylo 29,8 % .	Et c' était à peu près 29,8 pourcent des femmes interrogées .
Ženy také říkaly , že je zdravotnický personál nebral vážně , že byli během porodu ponechány o samotě . Říkaly , že jejich porodní asistentka anebo lékař měli příliš mnoho práce a nemohli s nimi trávit dostatek času .	Les femmes ont aussi s- évoqué que le personnel obstétrical @ ne les traitaient pas de manière sérieuse , qu' ils étaient isole- laissées de côté après l' accouchement . Puis , les femmes ont aussi déclaré que le personnel était trop occupé pour pouvoir passer plus de temps avec eux ...
Ženy tedy říkaly , že by se mělo více vysvětlovat a 20,6 % říkalo , že by jim měli více naslouchat .	Les femmes ont donc dit qu' il faudrait améliorer la qualité des explications et 36 @ pour- n- virgule 9 pourcent ont déclaré qu' il faudrait que les d' autres écoutent mieux ce qu' elles vont ce qu' elles veulent .
Ženy také říkaly , že když si stanovily nějaký porodní plán , takže často byl ignorován a že jich přání nebrali lékaři vážně .	Elles ont aussi dit que souvent le plan d' accouchement de naissance @ a été ignoré par les médecins e par le personnel ...
Také ženy tvrdily , že bolest , kterou zažívaly , nebyla brána vážně .	Les femmes ont aussi dit que la douleur expérimentée pendant l' accouchement n' était pas prise au sérieux par le personnel obstétrical .
No a za třetí byla otázka , co si ženy myslely , že by mohly udělat lépe a jinak , aby zabránily traumatu .	Et troisièmement , c' était la question des aspects qui pouv- pourraient être améliorés par les femmes elles-mêmes pour éviter le traumatisme de l' accouchement ...
A byly to tedy otázky , co by ty ženy chtěly udělat a většina řekla , že nebo mohly udělat a většina řekla , že nemohly udělat nic .	La plupart des femmes a déclaré qu' il n' y avait rien à faire pour améliorer la situation .
Říkaly , že se prostě některé věci stanou a že se jim nedá zabránit nebo předejít .	Elles ont dit que certaines choses se produisent et elles ne peuvent pas être évitées .
Za druhé , ale ženy říkaly , že by chtěly poprosit o to , aby určité zákroky na nich nebyly provedeny . To bylo 26,9 % .	Les femmes ont très souvent dit que qu' il faudrait et éviter certaines interventions , 26,9 pourcent .
A některé také tvrdily , že by chtěly odmítnout určité zákroky . A to bylo 16,5 % .	Quelques femmes ont aussi déclaré de qu' elles voulaient re- rejeter certaines interventions , 16,5 pourcent .
Některé příklady zákroků které ženy zmiňovaly a byl císařský řez , také vaginální prohlídka , také například léky tlumící bolest a analgetika .	Quelques exemples de ces interventions étaient la césarienne , puis l' examen du vagin , ou par exemple l' utilisation des antidouleurs et des an- anal- analgésiques ...
V té možnosti jiné , co znamená jiné odpovědi , ženy říkaly , že by se rozhodovaly jinak a tak podobně . Co se tedy z tohoto můžeme odnést ?	Il y a aussi la possibilité de choisir une autre réponse . Et les femmes ont déclaré qu' elles @ prendraient différentes décisions , etc. Quelles sont les conclusions que l' on peut en tirer ?
Dá se porodnímu traumatu zabránit ?	Est-ce que l' on peut prévenir le traumatisme de l' accouchement ?
Samozřejmě .	Bien sûr , c' est possible .
Porod ne vždy jde tak , jak si představujeme .	Souvent , le déroulement de l' accouchement est différent par rapport à notre idée , notre imagi- imagination .
A žena bohužel zažije trauma , kterému se nedá předejít .	
Nicméně . Dá se určitými způsoby předcházet traumatu a například mu i zabránit .	Il est quand même possible de prévenir , éviter le traumatisme de l' accouchement ou l' empêcher .
Co s týče zdravotnického personálu , tak si myslím , že naprosto klíčové je , aby respektoval informovaný souhlas .	En ce qui concerne le personnel médical , il est vraiment important que le personnel respecte le consentement informé .
Za druhé by měl rozhodně komunikovat a vše pořádně vysvětlit .	Deuxièmement , il faut que le personnel communique et explique tout ce qu' il faut .
Zároveň by měl zdravotnický personál probrat ten porodní plán s rodičkou .	En plus , le personnel devrait discuter le plan de l' accouchement avec la parturiente .
Měl by dále také , měl by se k ní chovat s respektem a s důstojností , zachovat její důstojnost .	Ensuite , la mère devrait être traitée de manière respectueuse et avec dignité .
Personál by měl také konzultovat určité věci s porodní asistentkou nebo dulou . Neměl by se dotýkat pacientky bez jejího souhlasu . Také by rozhodně neměl pronášet nějaké hanlivé poznámky .	Le personnel devrait également consulter certaines @ certaines aspects certains aspects avec la sage-femme ou l- la doula , et le personnel ne devrait pas toucher la mère à son consentement , il ne devrait dire des @ o- ou offusquer la mère .
A pokud by zdravotníci chtěli nějaké typy . Tak Národní ústav pro zdraví a klinickou odbornost vydal instrukce , které se právě zabývají porodním traumatem a jak mu zabránit .	Et si les personnels veulent @ trouver quelques conseils , il y a un institut national pour la l' excellence clinique et et médicale . Il y a quelques conseils comment éviter le traumatisme de l' accouchement ...
Rozhodně podporuji to , aby zdravotníci chodili na takovéto kurzy , aby se zajímali o to , jak zabránit porodnickému násilí .	Je soutiens pleinement la participation du personnel à ces cours parce qu' il faut qu' il sache comment prévenir , comment réduire d- le risque du traumatisme de l' accouchement .
Například ? ? ?	
Monopoly pořádá podobné kurzy .	Monopoly @ l' ont fait tel cours .
Nevím , jestli máte nějakou obdobu těchto kurzů v České republice , ale rozhodně jsou velmi prospešné pro zdravotníky .	Je ne sais pas s' il y a des cours comme cela en République tchèque , mais je les trouve très utiles pour le personnel médical .
Co se týče matek , tak ty by samozřejmě měly podstoupit například nějaké kurzy , aby věděly , co je čeká .	En ce qui concerne les mères , ... elles devraient aussi participer à des cours pour se préparer à l' accouchement ...
Hrozně bych rodičky také podnítila k tomu , aby se zajímaly o svoje možnosti .	Je voudrais aussi conseiller aux mères aux futures mères de trouver leurs possibilités .
Dnes jistě uslyšíme o různých alternativách porodu . A já bych vás rozhodně chtěla podpořit v tom , abyste prozkoumali všechny možnosti a rozhodly se , které jsou pro vás vhodné .	Aujourd' hui , il y aura d' autres interventions qui nous parleront des alternatives de l' accouchement et je voudrais @ vous soutenir @ dans vos démarches pour que vous puissiez trouver toutes les possibilités pour vous .
Zároveň si myslím , že je dobré si vytvořit porodní plán a probrat ho například s porodní asistentkou a sestavit ho tak , aby všem vyhovoval .	Il faut également créer le plan d' accouchement @ et donc parler avec la sage-femme et inclure les parties pour qu' ils conviennent à tous les acteurs .
Zároveň si myslím , že je dobré si zachovat určitá , určité realistické představy a jít do toho s otevřenou myslí .	En même temps , il faut garder des imaginations réalistes , être ouvert à des possibilités .
Protože se může stát mnoho věcí během těhotenství i během porodu .	Beaucoup de choses peuvent se produire lors @ de la grossesse , mais aussi lors de l' accouchement ...
Také bych doporučila , abyste našli někoho , kdo vám pomůže s vaším duševním zdravím , kdo vás podpoří .	Je voudrais aussi vous recommander de trouver @ quelqu' un qui pourrait vous conseiller @ en ce qui concerne la santé mentale .
Pokud jste například zažila nějaký těžký a traumatický porod nebo jinou traumatizující zkušenost , tak si myslím , že psychoterapie by vám mohla velmi pomoci .	Par exemple , si vous avez fait l' expérience d' un accouchement très très difficile ou traumatisant , il v- vaudrait mieux trouver le l' assistance d' un psychothérapeute .
Je velmi důležité obklopit se lidmi , kteří vás podpoří .	Il faut s' entourer des gens qui vous soutiendront .
Toto je to nejdůležitější , co jsem vám dnes chtěla předat .	C' est ce qui est le plus important de ma part .
Moc vám děkuji za pozornost .	Je vous remercie de votre attention .
