	Hello , everyone .
Můžete se tedy informovat o našem know-how , na kterém jsme pracovali v posledních 30 letech .	You can have a look at what we have worked on in the last 30 years .
Dům světových kultur se ale dále soustředí i na jiné aktivity .	The World Cultures Institute is also focusing on other activities .
Organizujeme například REVIE , které funguje už od roku 1994 a koná se víceméně jednou za dva roky .	For example , we organize a review since 1984 and it take place once in two years .
Soustředí se hlavně právě na nemateriální kulturní dědictví .	It focuses on intangible cultural heritage .
Nyní mi ještě nakonec dovolte zmínit několik dalších našich hlavních aktivit .	Let me conclude by mentioning some other activities that we do .
Před pár lety jsme vytvořili hudební vydavatelství INEDIT .	A few years ago , we founded InEdit music publishing house .
V rámci tohoto hudebního vydavatelství nabízíme celou řadu kolekcí tradiční hudby .	Here we offer many collections of classic music .
Z největší části se jedná o ohroženou hudbu .	It is mostly music that is endangered .
Dále ale také nabízíme samozřejmě i novou hudební tvorbu a ne pouze tu tradiční .	We also offer new music , not just a traditional one .
Snažíme se tím o kulturní a diverzní obohacení .	That is how we try to achieve cultural heritage .
Vytváříme taky zvukové archivy , které prakticky neznají hranic , protože obsahují hudební tvorbu ze všech koutů světa .	We also create archives that include music from all around the world . There are no barriers , really .
Veškerou hudební tvorbu doprovázíme popisky , kterou které můžete najít ve francouzštině i v angličtině . Tyto popisky sepisují odborníci na dané téma .	All of the music is described in French , and these descriptions are written by experts in the field .
Pokud je to potřeba , můžeme nabízet i překlady některých textů písní .	If needed , we can provide you with translation of some of the texts .
V současné době máme poměrně ohromující sbírku a jsme na ní velmi pyšní . Doufám , že budete mít příležitost si pustit něco z hudby , kterou sbíráme za poslední desetiletí .	Currently we have quite amazing , an amazing collection and I hope you will have an opportunity to play some of the music that we have collected in the last decade .
Dále také doufám , že budete mít příležitost se podívat na některé z představení , které organizujeme . A že vás tento zážitek obohatí . A obohatí i váš přístup ke kulturní diverzitě .	I also hope that you will have an opportunity to see some of the performances that we provide and that it will enrich you and your approach towards cultural diversity .
Děkuji vám za pozornost a jsem vám k dispozici , pokud byste měli nějaké dotazy .	Thank you for your attention and I'll be happy to answer your questions .
Děkuji vám .	Thank you .
