Muy buenas tardes , ¿ se me oye ?	Dobrý den , doufám , že mě všichni slyšíte .
Y tales mensajes de odio tienen unas consecuencias inmediatas .	A tyto výzvy k nenávisti si našly své podhoubí ve společnosti .
De repente , inmediatamente , aparecen personas en las redes sociales que alentan pogromos contra las comunidades gitanas a las que sospechan de saltarse el confinamiento , es decir , el encierro obligatorio en casas durante la pandemia .	A v poslední době se na sociálních sítích vyskytují výzvy k sociálním ( pogromů ) romské komunity . A to především v případě , že by Romové porušili povinnou sociální izolaci v době pandemie .
En caso de antigitanismo , esa forma de racismo tan arraigado de la que hablé al principio , estamos hablando de un racismo profundamente arraigado en la historia que manifiesta , que se manifiesta con especial virulencia en contextos de crisis cuando la ansiedad y el descontento social buscan canales de expresión impunes .	Co se týče anticykanismu , jedná se o formu rasismu . Je to forma rasismu , která je pevně zakořeněna ve společnosti . A která je se vyznačuje tím , že probíhá až nezvykle pruce právě v období pandemie nebo v období krize . V této době totiž jsou lidé ve společnosti velice nespokojení , bojí se .
	A snaží se najít si nějaký terč , na kterém by se vybouřili a na který by svalili vinu .
Y los gitanos , históricamente , se han demonstrado un blanco muy fácil en estos contextos debido a la impunidad , vinculada a esta forma ampliamente aceptada de racismo .	A romská komunita je bohužel velmi ( ? ? ? ) terčem . Souvisí to s tím , že bohužel je ve společnosti zakořeněná jakási beztrestnost , co se týče veřejného projevování rasismů proti romské menšíně .
Yo he expresado en muchos foros de debate europeos , y lo voy a expresar aquí también , todas las políticas socioeconómicas dirigidas a la inclusión de la población gitana resultarán fallidas si no vienen respaldadas por un compromiso político de luchar contra el racismo y sus manifestaciones , incluido el discurso de odio .	Už jsem to řekla na mnoha evropských debatních fórech a opakuju to znovu zde . Všechny socioekonomické politiky a nástroje , které vláda aplikuje , k tomu , aby zařídila inkluzi Romů , tak nic z toho nebude fungovat , pokud vláda a společnost nebude bojovat se samotným rasismem a nenávistnými projevy .
En diciembre de este año , el marco estratégico de la Unión Europea para la inclusión de los gitanos llegará a su fin , y yo estoy seguro de que habrá muchísimas lecciones que aprender sobre la desigualdad tomadas de la crisis de la COVID-19 .	V prosinci tohoto , respektive minulého roku , směrní strategický rámec Evropské unie pro inkluzi Romů se snažil o to , aby ve společnosti dobře zafungoval . A já jsem si jistý , že z pandemie koronaviru a nemoci COVID-19 se do budoucna ( použ- ) poučíme .
	Měli bychom se poučit z toho , co probíhá .
	Měli bychom vidět , že rasismus je špatný .
Una de ellas debería ser priorizar la lucha contra el racismo en los programas estratégicos de los estados miembros de la Unión Europea .	A měli bychom prosazovat v Evropské unii antirasismus a další strategické programy Evropské unie pro inkluzi ( ? ? ? ) obyvatelstva .
La inclusión , es decir , la participación equitativa , la participación igual en todos los ámbitos de la sociedad , seguirá un sueño inalcanzable hasta que logremos reducir los altísimos niveles de estigmatización y de odio que padecen las comunidades gitanas .	Protože inkluze romského obyvatelstva ve společnosti , ve všech sférách společnosti je velice důležitá . Sice je to běh na dlouhou trať , ale měli bychom dát tomuto cílu velkou prioritu . Romské obyvatelstvo si nese určité ( stydma ) stigma .
El estigma @ de amenaza gitana es la mayor barrera para acceder a las viviendas de alquiler , el trabajo de calidad , pero también a las estructuras democráticas de representación .	Díky tomuto , lépe řečeno kvůli tomuto stigmatu , mají problém se sehnáním dobré práce , nebo například se sehnáním dobrého bydlení .
Estos tres ámbitos de inclusión que acabo de mencionar , y que son tan diferentes entre sí , requieren una cualidad básica común , y esa es la posibilidad de confiar .	A tato je cílem inkluze , aby se tato situace změnila .
Y es lo que se les ha quitado a las gitanas y a los gitanos , la confianza .	A je cílem , abychom Romům více důvěřovali . My Romům a Romové nám .
La confianza que es el capital social más elemental .	To je hlavní kapital společnosti . Důvěra .
Las campañas de difamación contra la identidad gitana por el medio de discursos racistas tienen tres efectos principales .	Různé kampaně , nenávistné kampaně proti romskému obyvatelstvu mají rasistický základ a mají tři hlavní projevy .
En primer lugar , dañar la reputación de todo un grupo de población .	Zaprvé tedy chtějí tyto rasistické nenávistné projevy zničit reputaci celé celé společnosti .
En segundo lugar , crear una opinión pública basada en el miedo .	Také chtějí vytvořit společnost založenou na strachu .
Y finalmente , en tercer lugar , legitimar la exclusión social .	A nakonec se snaží dosahnout legitimizování sociálního vyloučení .
El estigma de antigitanismo no es nada nuevo o perdón el estigma antigitano no es nada nuevo .	Anticikanismus není nic nového . Ani stigma , které si romové nesou , není nic nového .
Se pueden trazar líneas paralelas con la infame historia del antisemitismo . Y de ser así , esta historia de discriminación tiene un efecto negativo muy duradero . Las encuestas sobre la intolerancia , de hecho , informan regularmente de los niveles altísimos de hostilidad justo hacia los gitanos de entre todos las @ de entre todos los grupos minoritarios en Europa .	Dokazují to už celé studie z historie , z genealogie , které našly podobné příklady antisemitismu i v minulých letech . Intolerance má velice negativní vliv na naši společnost a přispívá k nevraživosti a nepřátelství ve společnosti . Španělsko a bohužel tedy se podílí na této situaci v Evropě .
Hemos de ser conscientes del clima social que prevalece en los tiempos de pandemia , porque es crucial para evaluar los posibles efectos de los discursos racistas .	Tomu bychom měli zabránit . Je třeba zabránit tomu , aby ve společnosti se objevovaly nenávistné projevy proti romskému obyvatelstvu .
Porque estos discursos racistas pueden crear un entorno intimidante , hostil , degradante , humillante , ofensivo o hasta violento contra las comunidades gitanas .	Protože tyto projevy jsou velice urážlivé , někdy dokonce i násilné . A míří proti romskému obyvatelstvu .
La Directiva de Igualdad Racial de la Unión Europea proporciona a los estados miembros un instrumento adecuado para luchar contra los discursos de odio .	Směrnice Evropské unie o rasové rovnosti umožňuje členským státům , lépe řečeno v této směrnici , spočívat schopný nástroj , jak situaci řešit .
La @ las leyes españolas también protegen formalmente a sus habitantes y a los grupos minoritarios contra las amenazas , los crímenes contra la integridad moral y también contra los discursos de odio , protecciones que son garantizadas en el Código Penal .	Španělské zákony chrání formálně chrání všechny své obyvatele a také minoritní skupiny . Chrání je před všemi hrozbami . Před zločiny , morální integrity a také před nenávistnými projevy . Je to ochrana , která je zakotvena v trestním zákoníku .
Los instrumentos jurídicos entonces ya existen .	Už máme teda právní nástroje , jak situaci řešit .
Ahora son precisos programas políticos adecuados que velen por el cumplimiento de estas leyes .	Ale nyní se musíme zaměřit na politické programy , které by zajistili dodržování těchto zákonů .
La igualdad constitucional de los gitanos es más que una cuestión de inclusión social , es una cuestión de dignidad humana .	Je třeba zrovnoprávnit romské obyvatelstvo . Je to více než jen otázkou společenské prestože , je to otázkou lidské důstojnosti .
Y esto requiere que existen políticas contra ra- antirracistas que garanticen que el pueblo gitano sea tratado con respeto .	Existují antirasistické politiky , které zaručují , že romské obyvatelstvo se setká s větším respektem .
Muchas gracias .	Děkuji .
