Thank you , thank you very much . Good afternoon , ladies and gentlemen .	Dobrý den , mnohokrát vám děkuji za to , že jste mě sem pozvali .
But I would say that any organization is defined by the people who work there .	Nicméně každá organizace je definována lidmi , kteří v ní pracují .
Managers and employees help shape a company 's mission statement and viewpoints .	Manažeři , zaměstnavatelé a tak dále Ti všichni jsou jedinečné osobnosti .
And the employees reflect the organization 's ideals and aims .	A zaměstnanci odrážejí to , o čem ta firma je , jaké ideály má a jaké cíle má .
And it might happen that a business pivot into some new sector or start offering different services , but it 's still the people whose names are on the organization charts . And it 's the people who carry on the spirit of the business .	Některé firmy se snaží být inovativní a nabízet nové věci . Nicméně firmy , ať už jsou jakékoliv , tak to nejdůležitější pro ně je jejich zaměstnanci .
So this is why cultural diversity is so important in the modern workplace .	Proto je diverzita tak strašně důležitá na pracovním trhu a ve firmách .
Managers who know this and who hire employees who come from all economic and social political backgrounds bring unique viewpoints this way , and they bring perspectives to the company . Embracing cultural diversity allows employees from disadvantaged backgrounds to have a better chance to , to have a career that fulfills them and that is rewarding to them .	Manažeři , kteří ví , že je to důležité , a manažeři , kteří najímají , kteří zaměstnávají lidé z různých kulturních zázemí , přináší velmi velké pozitivum své firmě . Diverzita nám totiž dovoluje , abychom do pracovního procesu zahrnuli všechny , všechny z naší společnosti .
	A abychom pomohli například i minoritám , které to nemají vždy úplně lehké .
And at the same time , people who work in an office that cherishes cultural diversity can approach conflicts and decisions with a global and holistic mindset , perhaps .	Navíc lidé , kteří pracují ve společnosti , která je pro kulturní diverzitu , tak má mnohem širší záběr a mnohem globálnější záběr .
	Diverzita je velmi důležitá .
So , cultural diversity is crucial , but there are challenges to making it a reality in any office setting . Trust me , I have worked with so many companies and it has never been easy .	Nicméně je to velmi jednoduché říct , že je to důležité , ale uvést to v realitu už tak jednoduché není . Některé firmy s tím mají problémy .
Some companies may not make cultural diversity a priority . Some companies might not dedicate the financial investment required to , to hire diverse employees , or they just simply may not appreciate the benefits of a culturally diverse workforce .	Pro některé firmy to není priorita . Pro některé firmy to není dostatečné , dostatečně důležitý problém na to , abychom na něho investovali . A jsou i některé firmy , které prostě nevnímají ty výhody , které diverzita může pro firmu mít .
At the beginning , I mentioned that we still have a long way to go in reaching cultural diversity in our everyday lives .	Na začátku jsem říkala , že ještě je třeba toho hodně změnit . A je třeba , abychom změnili náš každodenní život .
So how do we go about it ?	Jak to můžeme udělat ?
Most of us go to work every day .	Většina z nás každý den pracuje .
So let me give you some numbers on diversity in the workplace .	Proto bych trošku teďka chtěla mluvit o číslech a o diverzitě .
First , let 's have a look at gender diversity .	Když si podíváme na genderovou diverzitu , na genderovou rozmanitost .
I would like to tell you some numbers from a report by the US Department of Labor .	Tak já bych ráda zmínila čísla z Ministerstva práce Spojených států .
In this report , they claim that almost 47 % of the workforce in 2017 was comprised of women .	V roce 2017 bylo 70 % pracovníků pardon byla polovina pracovníků ženy .
That might sound great . You know , if almost half of the workforce is comprised of women , then almost half of it is comprised of men . And that 's a perfect 50-50 situation .	To je dobře , protože je to 50 na 50 , je to půl na půl , tak by to mělo být , ne ?
But if we look at some specific fields , women 's participation is high in some and very low in some others .	Nicméně , když se podíváme na nějaké specifičnější období , odvětví , pardon . Tak v některých odvětvích je tam množství žen vysoké a v některých nízké .
For example , 93 % of dental assistants are women .	Například 93 % zubních asistentek jsou ženy .
So then there are only 7 % of men .	
And another example , 82 % of social workers are women .	Dalším příkladem může být , že 82 % sociálních pracovnic je žen .
On the other hand , in many high-paying fields , women 's participation is very low .	Některé odvětví , které jsou velmi dobře placené , je účast žen mnohem menší .
According to data from the Department of Labor that I have already mentioned , women account for only 14.7 % of software engineers , only 26.6 % of mathematicians and only 20 % of civil engineers .	Už jsem zmínila , že ženy často tam pracují méně . Například 26 % matematiček jsou ženy . A ze stavebních inženýrů pouze 20 % jsou ženy .
So here you can see that the gender balance is not achieved in some of these areas .	Tady jde vidět , že to není příliš genderově vyvážené .
Let 's now have a look at racial and ethnic diversity in the United States just briefly .	Teď se můžeme podívat na ten aspekt původu , etnického původu .
The same report from the US Department of Labor says that the number of African-American workers in the labor force was 19.6 million in 2016 .	Zase budu vycházet z dát z Ministerstva práce Spojených států . Co se týče afroameričanů . Tak v roce 2016 bylo 19 milionů afroameričanů .
And this number is expected to grow up to 21.6 million by the year 2026 .	
So that is a 2 million increase in the course of 10 years .	A v pár letech to bude už přes 20 milionů američanů .
But same as women , African-Americans are shut out of many jobs with high salaries , like in technology or in architecture , engineering and also other professions .	Nicméně afroameričané nepříliš často mají zaměstnání , které jsou velmi vysoce placená . Například nejsou to velmi často inženýři , architekti atd. Co se týče jiného jiného druhu diverzity , jako například náboženské diverzity .
There are , of course , some other types of diversities that we could discuss , like diversity in religion , or diversity in mental and emotional health , or diversity regarding disabilities , or LGBTQ + identity , but I will not go into much detail because I 'm running out of time , simply .	Nebo diverzity , co se týče nějakého duševního zdraví , nebo nějakého postižení , nebo například sexuální identity , tak tam také existuje spousta dat. Ale já nechci úplně zabíhat teď do detailů . Už nemám tolik času .
I thought I would just share some tips that I usually give to the companies , but I won 't do that because I am , I am a businesswoman and I 'm sure you will understand that I won 't share my know-how here .	Ráda bych zmínila nějaké typy , které dávám firmám . Ale úplně se mi to tady nechce sdílet , protože přece jenom mám svoje podnikání a nechci sdílet svoje know-how .
I need to keep it a secret .	
But I hope that my speech was insightful and that you realize that every one of us have still a chance to change something in our everyday lives , and that you will not just leave this conference later today and start living as you are used to .	Doufám , že můj proslov , moje řeč byla zajímavá . Že jste se naučili něco nového a že jste pochopili , že každý z nás může něco změnit v našem každodenním životě . A doufám , že neopustíte tuto konferenci a nenavrátíte se zase k minulosti , k tomu , jaké to bylo dřív .
So every , every one of us needs to start with ourselves .	Každý z nás by měl začít sám ze sebou .
Thank you very much .	Mnohokrát vám děkuji .
