Moc děkuji za pozvání .	Merci de votre invitation .
Záleželo ale , jestli pobýval v královském městě , kde samozřejmě ta poslední instance byl král . A nebo v podanském městě , kde to byl pán .	Mais cela dépendait si on parlait de la ville royale ou bien de la ville soumise à la noblesse .
Ve 14. století poté se začali řemeslníci a prodávající sdružovat do cechů .	Au XIVe siècle , les artisans ont com- commencé à former des guildes .
A ty z části přejali právě tuto kontrolu kvality .	Les guildes sont devenues les autorités de contrôle .
Jak mi Petr řekl , tak právě tehdy vidíme nějaké zárodky antimonopolního práva .	Comme Petr m' a dit , l' on voit déjà le début des lois antitrustes .
Protože řemeslníci měli zakázáno se na cenách tajně domlouvat .	Il était impossible pour les artisans de se mettre d' accord sur les prix clandestinement .
Já bych ráda uvedla takový příklad , ať se to dokážete představit .	Je vais vous citer un exemple concret .
Například tady v Praze se dvakrát až třikrát týdně kontroloval chleba a také maso .	À Prague , deux ou trois fois par semaine , on contrôlait le pain et la qualité de la viande .
Pokud neprošli tou kontrolou , tak to bylo rozdáno chudým .	Si ces produits ne passaient pas le contrôle , on donnait tous ces produits aux pauvres .
To si myslím , že je docela hezké .	Je crois que ce c' est c' est une bonne pratique .
Nevím jestli tedy , snad to nebylo až příliš poškozené , to zboží , ale ale je to poměrně hezké .	
No a co se stalo tedy s těmi co s těmi provozovateli , s těmi řemeselníky ? Pokud takto poškodili toho spotřebitele , tak na to dohlíželi končelé , dohlíželi na to rychtáři . A pokud se to prokázalo , tak mohli třeba přijít o ruku .	Et les artisans qui violaient la règle , ... alors il y avait les conseils municipaux et les maires , et si l' on a confirmé la culpabilité des des artisans , on pouvait les exécuter .
Nebo mohli jít na šibenici .	
No a mě samotnou zaujal asi ten trest , že se tito hříšníci zavřeli do železného koše a ponořili do Vltavy .	Ces pécheurs pouvaient être enfermés dans une cage de fer et jeter dans la rivière .
A to v jakékoliv roční době .	
Samozřejmě byste si řekli , tak to už je dostatečný trest , ale nebyl . Potom , co je vylovili , tak ještě dostali peněžitou pokutu .	Peut-être que vous pensez que c' est vraiment déjà une punition suffisante , mais on les inf- on on a infligé même une amende après après ce cette punition .
Vraťme se tedy ale zpátky do přítomnosti .	Mais revenons à la situation actuelle .
Protože ani dnes není vše ružové a stále zde máme problémy .	
Současná česká legislativa je sice poměrně slušná . Máme slušné hmotné právo , ale velký problém je v oblasti vymahatelnosti .	La gé- législation tchèque a déjà réglé ses problèmes , mais il y a beaucoup de problèmes dans l' exigibilité des lois .
Jedním z nejžhavějších témat jsou poté hromadné žaloby .	Les plaintes collectives sont un sujet brûlant .
A my , jakožto organizace D-test , jsme založili kampaň za hromadné žaloby , kterou do dnešní doby podepsalo přes 11 000 podporovatelů .	L' on a lancé une campagne qui s' appelle Pour les plaintes collectives . Plus de 11 000 personnes ont déjà si- signé cette pétition .
Já vám vysvětlím , proč je to důležité .	Pourquoi est-ce que c' est important ?
Protože v dnešní době , tedy v českém právu , není zakotveno toto právo podat hromadnou žalobu .	Parce que dans la législation tchèque , il n' y a pas une loi relative aux plaintes collectives .
Mnoho spotřebitelů proto , pokud ta škoda , která na nich vznikla , není příliš vysoká , tak nakonec ani k tomu soudu raději nejdou . Pokud by ale zde bylo toto právo , kdyby se mohly spojit , tak samozřejmě by to vymáhání těch práv bylo mnohem úspěšnější a jednodušší .	Donc , euh on dirait que la l' endommagement pour les plaintes collectives n' est pas si important . Donc souvent , les gens décident de ne pas poursuivre les entrepreneurs en justice , mais collectivement , il est possible de le faire .
Takže pokud byste nás chtěli podpořit , tak právě tuto kampaň , ale i jiné kampaně můžete podpořit na sociálních sítích .	Si vous pouvez nous soutenir , vous pouvez le faire sur les réseaux sociaux ou directement sur notre site web .
Anebo přímo na našich stránkách dts.cz.	
Já bych teda závěrem chtěla říct , že ať už jsme ve středověku nebo ve 21. století , ať už nás ošidí chlebem a nebo máme poškozený například kávovar , tak zde jde hlavně o toho spotřebitele .	Pour conclure , je voudrais dire que , peu importe si on parle du Moyen Âge ou la situation actuelle , Peu importe si on parle du pain ou de la machine à café , c' est le consommateur qui est important .
A my , jakožto organizace D-Test , se vždycky budeme zasazovat za to , aby spotřebitelé netahali za kratší konec provazu .	Et nous , l' organisme des tests , allons toujours défendre les consommateurs .
Děkuji .	Je vous remercie .
