Bonjour à tous !	Dobrý den všem .
Et @ comme j' ai déjà dit , il y a une incontournable intelligence artificielle qui s' adapte à la marche de celui ou celle qui les porte .	Jak jsem také říkala , je tam umělá inteligence , která je nevyhnutelná a ta se adaptuje podle toho , kdo je nosí .
Il y a pas besoin d' apprendre à le faire comme le vélo , comme la natation . Vous simplement marchez comme d' habitude .	Nemusíte se učit na těchto botech chodit , jako třeba jezdit na kole , ale stačí zkrátka chodit , jak jste zvyklí .
Il n' y a pas @ de force nécessaire . @ Et cela fait six millions d' années que les êtres humains marchent de la même façon .	A díky tomu můžeme říct , že lidé už 6 milionů let chodí stejně .
Tout a changé en ces six millions années , mais pas notre façon de se déplacer principale . Et je pense qu' il est grand temps qu' on change cela .	Vše se změnilo , ale to , jak se přesouváme , ten hlavní způsob je dneska stále stejný . Chodíme stále stejně .
La ville de Prague est un endroit fascinant , riche en histoire , en culture .	Praha je fascinujícím místem . Je to bohaté město na historii i kulturu .
C' est une ville où les rues piétons sont omniprésents , où les bâtiments historiques se dressent fièrement aux côtés des modernes .	Ale chodci jsou všudy přítomní . Vidíme , že historické budovy se tyčí hrdě mezi těmi moderními .
Mais comme nous le savons tous , la marche dans une ville comme Prague peut être difficile .	Ale chodit v centru Prahy může být dost složité .
Les pavés inégaux , les collines et les rues étroites peuvent rendre la marche difficile , voire dangereuse .	Povrchy mohou být různě nerovné , nebezpečné a díky a to je právě to , co je možné překonat díky těmto botám .
Et c' est là que les chaussures Shift Moonwalkers entrent en jeu .	
Ces chaussures sont une nouvelle innovation conçue pour améliorer l' expérience de la marche , en partai- en particulier sur les @ surfaces difficiles , comme @ à Prague Les chaussures sont créées pour répondre aux besoins des personnes qui doivent marcher longtemps et souvent , en particulier dans des environnements urbains .	Je to skutečně nová inovace , díky které bude chůze ještě příjemnější . Různé složité povrchy , jaké jsou v Praze , už nebudou problémem . Jsou vytvořené pro lidi , kteří potřebují překonávat větší vzdálenosti .
Les chaussures Shift Moonwalkers sont légers , confortables et conçues pour offrir un excellent soutien et une adhérence optimale sur toutes les sourfaces .	Boty jsou lehké a jsou designovány tak , aby byly optimální pro chůzi na jakých na jakémkoliv povrchu .
Prague est une ville où la marche est très populaire , les piétons sont nombreux et les rues sont souvent bondées .	V Praze se chodí mnoho . Chodců je také mnoho a ulice jsou často přeplněné .
C' est pourquoi il est important d' avoir des chaussures adaptées pour marcher en toute sécurité et confortablement .	Proto je skutečně důležité mít boty , které jsou přizpůsobené tak , aby člověk mohl chodit bezpečně .
Les chaussures Shift Moonwalkers sont parfaitement adaptées aux rues pavées de Prague , offrant @ tout ce qu' il faut pour éviter les glissades et les chutes .	Boty jsou velmi dobře přizpůsobeny chodníkům v Praze , tak , aby člověk nespadl a nebo neuklouznul .
Mais les chaussures Shift Moonwalkers offrent rien plus que des simples avantages pratiques .	Navíc jsou tam další praktické výhody .
Elles peuvent également aider à résoudre de- certains de défis de transport auxquels est confrontée la ville de Prague .	Můžete tím nahradit třeba určitou chybějící dopravu .
	Nebo když jsou zácpy .
La congestion automobile , la pollution et les coûts du déplacement croissants sont autant des défis que la ville doit relever .	Je to řešení pro znečištění vzduchu a další .
En encourageant le gens marcher plus tôt qu' à l- utiliser @ leur leur voiture , bien évidemment , nous pouvons aider à réduire la congestion et la pollution tout en améliorant la santé et le bien-être des habitants et des visiteurs de Prague ...	Tím pádem člověk může pomoci tím , že bude snižovat znečištění a automobilovou zácpu . Navíc tím napomůže i všeobecnému zdraví populace a Praha bude příjemnějším místem .
Bref , les chaussures Shift Moonwalkers sont parfaitement adaptées à la topographie de Prague .	Takže , jak říkám , tyto boty jsou skutečně velice dobře přizpůsobeny , Praze .
Elles peuvent être utilisées dans de nombreux adr- endroits . Les rues piétons du centre historique , les parcs , les espa verts , les bergers de la rivière Vltava .	Mohou být používány v historickém centru , v parcích , v zeleních , třeba na Náplavce .
Tout cela sont les endroits où les chaussures Shift Moonwalkers peuvent offrir une expérience de marche plus agréable et plus sûre .	To jsou všechno místa , kde Shiftmoonwalkers mohou být používány . A chůze může být jistější a příjemnější .
Maintenant que vous êtes convaincus que l' invention dont je parle est relvolutionnaire , permettez-moi de vous explique expliquer un peu plus en quoi elle consiste .	Teď , když už jste přesvědčeni o tomto revolučním vynálezu , trochu více vám vysvětlím , jak to funguje .
Les chaussures Shift Moonwalkers sont un concept unique en son genre .	Tedy boty jsou velice unikátním konceptem .
Elles révolutio- @ elles sont u véritable révolution de la marche .	Je to skutečná revoluce způsobu chůze .
Imaginez-vous @ que votre @ votre voyage à @ votre job ou à l' école est , disons , 45 minutes maintenant .	Představte si , že vaše cesta do vaší práce nebo do školy trvá například 45 minut .
Voyez-vous en quoi c' est révolutionnaire si vous pouvez le faire en 20 minutes ou 15 minutes en marchant ? Imaginez les avantages que cela pourrait apporter aux habitants de Prague .	A dokážete si představit , jak je to revoluc- revoluční , když se dokážete do školy , do práce dostat za 15 minut ? A to pěšky .
Les Shift Moonwalkers pourraient changer tout cela .	Tyto boty skutečně mohou všechno tohle změnit .
Grâce à leur capacité à se déplacer à des vitesses plus élevées que la marche traditionnelle , les utilisateurs pourraient facilement contourner les obstacles et éviter tous les emboule- embouteillages .	Díky tomu , že se s nimi můžete přesouvat rychleji , je možné překonat různé překážky a například i dopravní zácpy .
En résumé , les Shift Moonwalkers pourraient être la réponse pratiquement unique au problème de la circulation et des transports à Prague .	Když to shrneme , Shift Moonwalkers by mohly být jedním unikátním řešením automobilových zácp v Praze .
Elles sont pratiques , confortables , respectueuses de l' environnement .	Jsou šetrné k životnímu prostředí , jsou pohodlné .
Avec leur aide , les habitants de la ville pourraient facilement se déplacer et atteindre leur destination plus rapidement et plus efficacement qu' auparavant .	Navíc s nimi mohou lidé jednoduše jít z bodu A do bodu B a to efektivnějším způsobem než předtím .
Je vous remercie d' avoir h- écouté ma présentation sur les Shift Moonwalkers et j' espère que vous partagez mon enthousiasme pour cette invention révolutionnaire .	Doufám , že se vám prezentace líbila a doufám , že také se mnou sdílíte nadšení ohledně tohoto vynálezu .
Et si vous lav- f- si vous avez des questions , n' hésitez pas à me les poser après .	Pokud budete mít otázky , samozřejmě jsem vám později k dispozici .
Merci .	Děkuji .
