	Dobrý den .
Nous sommes donc en train de faire pression sur les autorités pour que justement ces publicités des aliments qui sont destinés aux enfants soient tout simplement interdites à la télévision et interdites sur internet .	Dále jsme se obrátili na úřady , aby tyto produkty , respektive reklamy s nimi nabízené pro děti , byly zakázány na internetu i na televizi , i v televizi .
Et à cet effet nous avons lancé une grande pétition pour obtenir une loi qui régule davantage le marketing alimentaire .	Podepsali jsme petici , která by měla zavést zákon o regulaci těchto reklam .
Cette pétition a été lancée en coopération avec différentes associations , des associations de parents d' élèves par exemple ou des associations qui sont concernées par l' alimentation .	Tato petice byla spuštěna společně s různými sdruženími , které se zabývaly obecně stravováním .
C' est le premier exemple que je voulais donner .	To je první příklad .
Le deuxi- deuxième exemple concerne les ce qu' on pourrait appeler comme la délinquance financière ou en tout cas les fraudes qui sont réalisées sur la question des finances .	Druhý příklad se týkal to , čemu bychom mohli říct podvod , finanční podvod , který , kterých se dopouštějí určití lidé .
Quand , par exemple , vous êtes vous subissez une fraude et que votre compte en banque est vidé dans les quelques heures qui suivent le l' intervention . Chaque année en France , c' est plus d' un million de personnes qui sont touchées par pardon pas un million de personnes mais un million de foyers qui sont touchés par ces fraudes financières .	Například může se vám stát , že dojde k finančnímu podvodu a tomu jsou vystaveny tisíce francouzů každý rok . Pardon , týká se to domácností dokonce .
Et au total , cela représente à peu près un milliard d' euros qui sont détournés .	Tím pádem celkově miliard euro může být zpronevěřeno ve Francii ročně .
Alors quand votre compte en banque est vidé par un fraudeur , vous êtes censé être remboursé par les banques .	Pokud vám tedy někdy takto podvodně vyprázní bankovní účet , banka to musí proplatit .
Mais les banques en général font beaucoup de problèmes pour rembourser leurs clients .	Ale problém je v tom , že banky často mívají s tímto problém .
Et en général , même si elles le font , souvent en fait les dépenses qu' elles ont pour rembourser ces sommes sont ensuite répartis par exemple sous la forme de frais bancaires ou sous la forme d' intérêts supérieurs et donc en fait les banques finalement ne financent jamais ces fraudes .	I když ty banky k tomu přistoupí , mají s tím poměrně velké náklady . Navíc se do toho promítají různé bankovní poplatky , různé úroky . Takže ve finále se dá říct , že banky tyto podvody nikdy nefinancují .
En plus , dans de nombreux cas , les banques utilisent tous les moyens pour ne pas devoir procéder à ces remboursements .	V mnoha případech banky přistupují k různým prostředkům , jen aby nemuseli proplácet .
Soit elles proposent des démarches qui sont tellement compliquées et tellement fastidieuses qu' en général les clients préfèrent abandonner les procédures .	Jsou to různé kroky , které jsou velice složité a klient se nakonec rozhodne , že radši to vzdá .
Nous avons pu intervenir sur ce sujet et grâce à cela nous avons premièrement pu limiter les excuses que je me permets de qualifier de fausses de la part des banques qui souvent disent que c' est la faute des clients et donc nous avons mis un cadre juridique ici pour éviter justement ces fausses excuses .	My jsme se tím také zabývali . A nejdříve jsme dosáhli toho , že jsme omezili počet falešných výmluv bank . Často totiž nebyl žádný právní rámec , kde by tyto falešné výmluvy bank mohly uspět .
Nous avons aussi réussi à interdire le démarchage téléphonique et égaleme- pour les rénovations énergétiques et également à interdire la pratique de contrat oral , c' est-à-dire une pratique qui vous engage par un contrat seulement au téléphone .	Dále jsme se také zabývali zabývali telemarketingem . A dále jsme se také zabývali tím , aby byla zakázána zakázány případy , kdy dojde k smlouvě pouze ústně přes telefon .
Nous souhaitons encore obtenir d' autres mesures , comme par exemple la mise en place d' un système d' identification forte , comme le demande la législation de l' Union européenne .	Dále jsme dosáhli toho , že byl zaveden identifikační systém , který je žádán legislativou Evropské unie .
Et enfin , nous voudrions arriver à obtenir l' interdiction totale des du démarchage financier par téléphone , c' est-à-dire qu' il n' y ait plus d' assurance , de produits de crédit ou d' épargne qui soient proposés au téléphone à des personnes en général qui ne sont pas en mesure justement de répondre comme il se doit .	A dále bychom také chtěli dosáhnout kompletního zákazu finančního telemarketingu . To znamená , už by nešlo sjednat různá pojištění přes telefon nebo další služby .
Donc comme vous voyez nous sommes très actifs mais malheureusement nous avons encore beaucoup de travail devant nous .	Takže , jak vidíte , jsme velice aktivní , ale bohužel máme před sebou ještě hodně práce .
Ce qui est rassurant c' est que nous savons que nous avançons et nous savons que nous avons pu aider justement un grand nombre de consommateurs et cela nous permet de continuer notre mission .	Ale můžeme říct , že pokračujeme dále a je hezké , že jsme dokázali velmi velkému počtu spotřebitelů již pomoci a rádi budeme v tom pokračovat .
Je vous remercie .	Děkuji vám za pozornost .
