Merci beaucoup , j' espère que vous m' entendez bien .	Děkuji , doufám , že mě dobře slyšíte .
Prenons un exemple .	Vezmeme si konkrétní příklad .
Imaginez que quelqu' un nous tire dessus , que quelqu' un nous envoie un missile intercontinental .	Představte si , že někdo vystřelí střelu , která poletí přes kontinenty .
À ce moment , le secteur militaire n' a que quelques minutes à faire beaucoup de pas .	V tomto okamžiku skutečně je nutné jednat v několika minutách .
Ils ont que quelques minutes pour évaluer la situation , pour transmettre cette évaluation aux politiciens , pour donner à ces politiciens quelques solutions possibles et pour réagir à cette attaque .	Vyhodnotit situaci , dále jí komunikovat s politiky , navrhnout možná řesení řešení a pak reagovat na tento útok .
Dans ces conditions , toute aide de la part d' une intelligence artificielle , pour analyser la situation , pour faciliter la présentation aux autorités , par exemple , permet de gagner du temps , ce qui peut être vital , ce qui peut être très important dans un conflit .	Každopádně umělá inteligence může pomoct v tom , že analyzuje situace situaci a dokáže získat drahocený čas. To může být skutečně klíčové , pokud se jedná o nějaký konflikt .
Mais dans le domaine de la défense et l' industrie militaire , l' intelligence artificielle est encore regardée avec prudence et avec précaution .	Co se týče obrany a vojenství . Umělá inteligence je stále ještě trošku považována jako něco , co není úplně důvěryhodné .
Pour toutes les raisons éthiques et morales qui peuvent venir à l' esprit , confier des systèmes létaux à des logiciels , algorithmes et des robots est un pas que l' on ne veut pas vraiment encore faire .	Samozřejmě by to mohlo přispět k vytváření různých smrtících zbraní a to je něco , co nechceme dělat .
L' intelligence artificielle dans le domaine militaire se trouve donc déchirée entre entre deux groupes en fait , entre les experts militants pour une utilisation raisonnée de l' AI dans le conflit et entre ceux qui s' imaginent déjà la possibilité de voir émerger un jour des robots tueurs .	To znamená , je tam určitá rozpolcenost mezi dvěma skupinami . Experti , kteří bojují za rozumné používání umělé inteligence . A druhá skupina , kteří si představují , že tady budou roboti zabijáci .
C' est vraiment une question très difficile .	Je to opravdu velice složitá situace .
Un drone contrôlé à distance , par exemple , est-ce que c' est une arme autonome ?	Třeba dron . Je to autonomní zbraň .
Et par ailleurs , il faut aussi discuter une question de responsabilité .	A také se musíme zabývat otázkou zodpovědnosti .
Si un système autonome venait de blesser ou d' abattre même euh un cible civile une cible civile ou une cible militaire non désirée , qui est responsable ?	Pokud nějaký autonomní systém někoho poraní nebo zabije , třeba civilní cíl .
	Nebo nějaký vojenský cíl , který ale nebyl cílem ve skutečnosti .
Est-ce que c' est le programmeur du système ?	Kdo je tedy zodpovědný ? Systém ?
Est-ce que c' est l' État qui l' a mis en service ?	Stát ?
Est-ce que c' est son opérateur ?	Je to ten , kdo ovládal dron ?
Est-ce que c' est son fournisseur , son fabricant ?	Je to prodejce , výrobce ?
Il y a beaucoup d' options , mais on n' a pas vraiment la réponse à cette question .	Je tam mnoho možností , ale tu otázku je těžké zodpovědět .
C' est en fait pourquoi le droit international de la guerre interdit aujourd' hui le déploiement d' armes ou d' engins de mort , donc d' engins létals , qui ferait en sorte qu' il serait impossible de déterminer clairement qui est responsable en cas de d' éventuelles victimes civiles , par exemple .	Proto se v mezinárodním vojenském právu mluví o tom , že není možné mít smrtící zbraň , u které by nebylo možné říct , kdo je zodpovědný , pokud by někoho zabila .
Heureusement , pour les détracteurs de l' intelligence artificielle dans le domaine militaire , la technologie accessible actuellement est encore loin de nous permettre de développer les systèmes autonomes efficaces .	Naštěstí pro ty , kteří jsou proti používání umělé inteligence ve vojenství , stále nemáme takové možnosti .
	Existují ale softwary k rozpoznávání .
Par exemple , les logiciels de reconnaissance qui sont utilisés dans les forces armées aujourd' hui ne sont pas encore capables de distinguer , disons , un pick-up militaire d' un pick-up civil .	Ty ale nejsou schopné rozeznat třeba pick-up , který je vojenství vojenský a pick-up , který je civilní .
Et il est donc difficile d' envisager une application létale de ce système sans vraiment avoir des dommages collatéraux .	Bylo by skutečně složité vyvinout systém , aby nepřivodil nějaké důležité škody .
Mais il y a aussi d' autres exemples de ces limites d' intelligence artificielle dans le domaine de la défense .	Ale samozřejmě jsou důležitá využití umělé inteligence v obraně .
L' agence américaine qui s' appelle DARPA a fait une recherche récemment avec l' intelligence artificielle et quelques soldats , quelques marines .	Jedna americká agentura nedávno podnikla takovou studii s pár vojáky .
Ils ont passé en fait une semaine entière à entraîner une intelligence artificielle à reconnaître les soldats , par caméra .	A oni vlastně strávili celý týden tím , že trénovali umělou inteligenci , aby rozpoznávala vojáky skrze kamery .
Ils ont en fait fait les soldats marcher devant les caméras pendant une semaine , faire ces affaires devant la caméra pour apprendre à l' intelligence artificielle qu' est-ce que c' est un soldat .	Vojáci pochodovali před kamerou celý týden . A to za tím účelem , aby se umělá inteligence naučila , kdo to je voják .
Après une semaine , ces soldats ont reçu un ordre .	A po týdnu tito vojáci dostali rozkaz .
Et l' ordre , c' était de s' approcher de l' intelligence artificielle , ou plutôt de son hardware bien sûr , donc de s' approcher de son hardware et de le toucher sans se faire détecter par cette intelligence artificielle .	Ten rozkaz byl , že se měli přiblížit k té umělé inteligenci nebo k tomu hardwaru a měli to udělat tak , aby si jich nevšimla .
Alors peut-être vous vous dites que ça doit être très difficile , parce que l' intelligence artificielle c' est quelque chose de très intelligent , c' est quelque chose de moderne , quelque chose de super .	Možná si říkáte , že to muselo být strašně složité . Ta umělá inteligence je velmi inteligentní , moderní .
Et non , c' était pas difficile du tout en fait , pas pour ces soldats .	Ale vůbec to ve skutečnosti nebylo pro vojáky složité .
L' un d' eux a confondu cette intelligence artificielle par simplement roulant par terre .	Je to tak , že dokázali zmást tu umělou inteligenci .
Il a pas marché , il a roulé par terre jusqu' à arriver au point où il a pu toucher l' AI , elle ne l' a pas reconnue .	Váleli kotouly po zemi a tím je nepoznala .
Elle connaissait les soldats qui marchaient , qui étaient assis , qui travaillaient , qui tiraient . Elle ne connaissait pas un soldat qui roulait par terre , bien sûr .	Ona totiž znala vojáky , kteří stříleli , chodili , seděli , ale neviděla nikdy takové , kteří by se váleli po zemi .
Deux autres soldats ont mis des grandes boîtes sur leur tête , sur leur corps entier , ils se sont cachés dans ces boîtes et ils ont marché directement envers cette intelligence artificielle qui les a bien sûr n' a pas reconnus parce qu' elle n' a jamais vu un soldat qui se cachait dans une grande boîte en carton .	Někteří si zakryli hlavu pomocí krabic a kráčeli přímo proti této , proti té kameře . A uměla inteligence je také nepoznala v tomto případě .
Le commandant de cette projet de recherche a dit qu' apparemment on pouvait entendre les deux soldats rigoler dans leur boîte . Et il y en avait un autre qui s' est même déguisé en arbre pour confondre cette intelligence artificielle .	A vidíme , ty závěry jsou takové , že je možné zmást velmi jednoduše zmást tu umělou inteligenci .
Donc , voilà les limites de l' IA .	Takže to jsou určitá omezení .
Il faut dire qu' en général , les hommes sont beaucoup plus créatifs qu' une intelligence artificielle .	Musíme si říct , že obecně lidé jsou mnohem kreativnější než umělá inteligence .
Et il faut dire qu' un soldat humain reconnaîtrait certainement un autre soldat qui se cache dans une grande boîte en carton .	Lidský voják samozřejmě pozná jiného vojáka , který bude mít krabici na hlavě .
Cela dit , l' intelligence artificielle va certainement avancer et elle va progresser . et il ne faut donc pas l' ignorer seulement parce qu' elle n' est pas encore parfaite .	Ve světle toho , co říkáme , musíme ale říct , že umělá inteligence dále postupuje . Není ale zatím perfektní .
Celui qui se concentrera sur la recherche d' intelligence artificielle dans le domaine de la défense et la sécurité , aura certainement un avantage important .	Budeme se dále zabývat vývojem v oblasti umělé inteligence a bude to určitě velký velká změna .
Après tout , si vis pacem , para informatique ad bellum .	
Merci beaucoup pour votre attention et si jamais vous avez des questions , allez-y , s' il vous plaît .	Děkuji vám mnohokrát za pozornost a pokud máte jakékoliv otázky , jsem vám k dispozici .
