Tak .	
Ale polopaticky vzato s troškou nadsázky lze říci , že při hypnoporodu si tak trošku zdřímnete . Kdežto při orgasmickém porodu zažijete orgasmus . Ale samozřejmě , žertuji , je to mnohem složitější .	But you could say that during hypnobirthing you might kind of take a nap , and during orgasmic birth you have an orgasm , but I 'm joking , it 's actually much more complicated than that .
U hypnoporodu jde především o to , že nacvičujete různé techniky fyzického uvolnění a hloubkové relaxace .	With hypnobirthing , it 's mostly about practicing different techniques of physical and deep relaxation .
A díky těmto technikám se žena naučí správně dýchat a ovládat autosugesci .	You practice them for a long time and these methods teach you how to breathe properly and master autosuggestion .
Metoda pracuje tedy s dýcháním , s relaxacemi , s vizualizacemi a s afirmacemi .	So this method works with breathing , relaxations , vi- visualizations and affirmations .
Důležitý je trénink . Pravidelný trénink . A nácvik těchto technik . A to jak v kurzech , tak i v domácím prostředí .	What is of importance is regular practice of the techniques , not only during the course but also at home .
Žena , která si tyto techniky osvojí , tak pak dokáže pomocí hypnózy obejít vědomou mysl. Jinými slovy přemluví své podvědomí k tomu , aby uvěřilo , že porod je pohodlný , krásný , radostný , lehký a hlavně bezbolestný proces .	And the woman who practices these methods @ will be able to avoid her conscious mind . She will be able to convince herself that birth is easy , simple , painless , and happy .
Ovšem pozor .	
Pokud vás děsí slovo hypnóza , tak se nemusíte bát , protože veškerý hypnotický stav , do kterého se žena dostává , je takzvaná samohypnóza . Terapeut je zde pouze jakýmsi průvodcem rodičky .	The word hypnosis might scare you , but you don 't need to worry . Any hypnotic state the woman enters is self-hypnosis , and the therapist is only sort of a guide for the birthing woman .
To samozřejmě znamená , že rozhodování o tom , zda žena setrvá v hypnotickém stavu a kdy z něj vystoupí , je pouze na vůli rodící ženy .	So that means that it 's up to the woman how long she will remain in the hypnotic state and if she wants to get out of it .
Nepředstavujte si tedy výjevy , kdy hypnotizér odpočítává čísla od 10 do 0 a říká vám věty o těžkých očních víčkách a podobné věci .	So it doesn 't mean that there is a hypnotist counting from zero to 10 or tells you that your eyes are getting heavy .
Vše je v režii samotné rodičky .	It 's all under the control of the mother .
Vše si řídí sama a o všem rozhoduje pouze pouze ona .	She is the one who decides about everything in this process .
Možná se ptáte zda je tato metoda vhodná pro každou ženu . Ono by to bylo trošičku naivní myslet si , že tato metoda je vhodná pro každého a že bude fungovat stejně pro každou ženu .	So you might be asking yourself , is this method @ good for everybody , for every woman ? That might be a little naive to think that it will work for everyone the same .
Tomu tak bohužel není .	That 's not the case .
Podmínkou úspěchu je totiž takzvaná sugestibilita . Tedy naše vnímavost . To , jak vnímáme . Nejedná se proto o metodu univerzální , protože vnímavost u různých osob se samozřejmě liší .	In order to be successful with this method is your level of suggestibility or receptivity and that is different for each person . That means that the effects will be different for everybody .
Mluvíme-li o běžné hypnóze , tak té je schopno údajně 90 až 95 % běžné populace . Ovšem hypnoporod funguje zhruba jen u každé čtvrté ženy . Tedy 25 % žen je schopno zažít hypnoporod , bezbolesný porod , díky hypnoterapii .	Each person has different levels of suggestibility of classic routine hypnosis . @ 90 to 95 % of the general population should be capable of it but hypnobirthing works only for about one in four women . ...
Tak .	
A kde má hypnoporod své původy ? Pokud vás zajímá , kde se tato metoda vlastně vzala .	Now let 's talk about the origins of hypnobirthing . Where did this method come from ?
Tak dám vám několik údajů .	I 'm going to give you some information on that .
A asi vás překvapím , protože se nejedná o žádnou novinku .	It might be actually surprising to you that it 's not anything new . ...
Možnosti hypnotechniky se začaly v praxi ověřovat již ve 30. letech 20. století . Dokonce v tehdejším Československu se pomocí hypnotechnik experimentálně rodilo už v 60. letech minulého století . A to v pražské porodnici u Apolináře .	This method originated in the 1930s . And what 's very interesting is that even in Czechoslovakia , hypnotherapy was used experimentally during labor in the 1960s in the Prague maternity hospital U- U Apolináře .
Metodu hypnoporodu ale proslavila Marie Monganová ve své knize Hypnoporod .	But hypnobirthing was made famous by Marie Mongan in her 1998 book Hypnobirthing .
Nebo v angličtině Hypnobirthing , omluvte mou angličtinu , z roku 1998 .	
A proto se tato metoda občas označuje i jejím jménem , tedy The Mongan Method .	That 's why the method is often referred to by her name , the Mongun method .
V poslední době se o metodě bezbolestného porodu často mluví . A to proto , protože se o popularitu této metody zasloužila britská vévodkyně Kate .	And painless birth is discussed currently a lot and that 's mainly @ because the current popularity of the method can thank to Duchess Kate .
A ta údajně díky hypnoporodu přivedla na svět své tři děti . Velice snadno , lehce a bezbolestně .	She birthed her three children painlessly and very easily @ to all her three children .
A to tak , že doslova pár hodin po jejich příchodu na svět pózovala krásně upravená a usměvavá novinářům z celého světa .	And she was already a couple of minutes , hours , excuse me , after the birth she was already posing for the photographers and looked amazing .
Kromě oné usměvavosti a to , že byste mohli dávat tiskové konference hned po porodu , tak jaké výhody hypnoporod vlastně má .	Well , so what are the benefits of hypnobirthing ?
Tak zaprvé se uvádí , že díky hypnoterapii je porod rychlejší a pro rodičku méně náročný .	Hypnobirthing makes childbirth faster and less strenuous to the woman .
Také není potřeba ženě podávat léky k utišení bolesti a nebo jich lze podat mnohem méně .	Also , less or no pain medication at all needs to be given to the birthing woman .
Také se prý eliminuje případné poranění hráze a redukuje se eventualita nástřihu hráze .	And it also eliminates possible injury to the perineum and reduces the possibility of perineal incision .
Hypnoporod není výhodný a zdravý pouze pro rodičku , ale také pro novorozence .	And this method is not only good for the mother but for the newborn as well .
Novorozenec je klidnější , uvolněnější a lépe pije z prsu v prvních okamžicích života .	It 's said that newborns born using this method are calmer , more relaxed and nurse better .
Je jasné , že díky nenástřihu hráze je rekonvalescence po porodu mnohem kratší . Snižuje se také riziko poporodní deprese , protože porod je pojímán jako radostná událost .	And of course because the perineum isn 't incised , the recovery period is much shorter and the risk of postnatal depression is reduced because the birth is viewed as something joyous .
No a podle zastánců této techniky se při použití metody hypnoporodu zvyšuje i šance na otočení miminka , které je v poloze koncem pánevním .	And according to the proponents of this technique , the chances of the turning of the baby into the proper pelvic end position increases .
A to právě v průběhu nácviku hypnoporodu na kurzech a na cvičení doma .	
Nezmínila jsem ale ještě téma strachu z porodu . Co s obávaným strachem z porodu ?	What I haven 't mentioned yet is what about the fear of childbirth , which is something people are often worried about .
Pomáhá hypnoterapie a hypnoporod i s tímto obrovským problémem ?	Does hypnobirthing help with fear of chil- childbirth ?
Tak ano .	And yes , it can .
Hypnoporod nebo metoda hypnoporodu může pomoct i se strachem .	
Já to hnedka vysvětlím .	I will explain to you how .
Ono v přírodních kulturách jsou dívky už od malička u porodů přítomny . Jsou přítomny u zrození nového života .	In nature cultures , girls are present at the births while they 're happening since a very young age .
A toto zrození nového života bývá často oslavováno a uctíváno .	And giving birth is celebrated .
	It 's something sacred .
Malá děvčátka tak vyrůstají s vědomím toho , že porod je pozitivní událost , na kterou se můžou těšit a není se třeba této události bát .	And little girls view birth as a positive event they can look forward to . It 's not something to be afraid of .
Když se pak z nich stává matka , tak prožívá porod podobný k těm , které zažilo , která dívka zažila již v dětství .	So then when they become mothers , they go through a similar birth as those she has seen before in her childhood .
Tedy bez bolesti a bez strachu .	And that means without pain and fear .
V naší kultuře toto však neplatí a často je tomu právě naopak .	But that 's not how it is in our culture . It 's quite the opposite a lot of the time .
Ženy slýchávají od svých maminek a babiček , že porod trval neskutečně dlouho , že to bolí , že se mají porodu bát , že je to úzkostlivá událost . A tak tedy bolest při porodu očekáváme a jsme ovlivněny zkušenostmi našich maminek a našich babiček .	Women often hear how strenuous their birth was , how painful and how anxiety-inducing it was . They heard from their mothers and grandmothers and that 's wh- what you expect when you hear this your whole life .
A pak často zažíváme to stejné , co zažívaly ony .	And then we often experience the same thing as our mothers and grandmothers did .
Nelze samozřejmě paušalizovat , ale je jisté , že strach z porodu je ve všech ženách naší kultury hluboce zakořeněn .	We can generalize , but in our culture , fear of childbirth is something deeply rooted in most women .
Ovšem , při kurzech hypnoporodu je nedílnou součástí takzvaná terapie uvolnění strachu .	But when you go to a hypnobirthing course , @ part of that is fear release therapy as well .
	It 's always part of the course .
Je známo , že strach paralyzuje .	We know that fear can paralyze you .
A v extrémních případech může adrenalin uvolňující se do cév porod dokonce zpomalit anebo úplně zastavit .	And the adrenaline can even slow your birth down or even stop it .
A to nechceme .	And that 's not something you want .
Když ale rodiče a převážně rodičky zpracují svůj strach už během kurzu , ještě před porodem , tak následně nemusí tato negativní emoce , kterou strach bezesporuje , ovlivnit samotný proces rození . No a při pohledu na hodinky vidím , že už jsem malinko možná překročila čas , který mi byl dán k dispozici . Tak ještě pár praktických informací na závěr .	But when you work on your fear before giving birth , before labor , you don 't even have to experience this negative emotion during the event . ... @ I can see that @ we don 't have much time left so I 'm going to give you just a couple of practical information .
Pokud vás tato metoda zajímá , pokud se chcete dozvědět více , tak můžete naštívit naše kurzy . Nebo možná jako první krok naše webové stránky , které znějí www.hypnoporod.kurzy.cz. Kurzy hypnoporodu vedu já a má kolegyně zkušená porodní dula a certifikovaná lektorka Adéla Lančová .	If this method piqued your interest and want to learn more , you can attend our courses or check out our website www.hypnoporodkurzy.cz The courses are led by me and my colleague , @ certified experienced doula Adéla Lančová .
My , naše kurzy se poněkud odlišují od jiných hypnokurzů , protože nabízíme ženám takzvanou kontinuální podporu . Tedy provedeme je těhotenstvím . Naučíme je jak na hypnoporod . Doprovodíme je k porodu . A následně je podporujeme i během šestinedělí .	And our courses are a little bit different than other hypnobirthing courses because we offer women continuous support , which means we guide them through their pregnancy , we teach them hypnobirthing , we accompany them to the birth , and then we also support them in their postpartum period .
No a to je z mé strany vše .	So that 's all that I want to tell you .
Já vám děkuji za pozornost a hlavně nezapomeňte , že porod je proměna . Porod je síla . A porod je hlavně láska .	Thank you for your attention . And remember that birth is transmission , birth is power , and most of all , birth is love .
