Tak .	Merci beaucoup .
Hypnoporod je metoda , přístup k porodu , který by měl zajistit klidný a bezbolesný porod bez jakýkoliv lékařských zásahů .	Alors , c' est une méthode ou une approche qui devrait assurer un accouchement calme , sans douleur , sans intervention médicale .
Vychází z předpokladu , že žena , která má dostatečné znalosti o fungování vlastního těla při porodu . Je schopna se na porodu aktivně podílet . A mít celý proces porodu pod kontrolou . Hypno , v označení hypnoporod , odkazuje na hypnoterapii . Ta je při této metodě používána k uvolnění strachu a k vyplavení endorfinů v určitých momentech v průběhu porodu .	Cette méthode se base sur la supposition que la femme qui a des connaissances suffisants sur le fonctionnement de son cœur sait assister , sait contribuer au déroulement de l' accouchement . @ On parle de l' accouchement sous hypnose , alors c' est lié à l' hypnothérapie qui est utilisée pour détendre la peur pour relâcher l' endorphine à des moments donnés au cours de l' accouche- l' acouchement .
Možná si říkáte , je hypnoporod to stejné , co orgasmický porod , o kterém jste už určitě také slyšeli . Tak ne .	Peut-être v- vous disez ... que @ l' accouchement sous hypnose est la même comme l' accouchement orgasmique dont vous avez certainement entendu parler .
Není to to stejné . I když cíl nebo účinek je velmi podobný .	Ce n' est pas la même chose , mais la conséquence , l' effet sont les l' effet est comparable .
Ale polopaticky vzato s troškou nadsázky lze říci , že při hypnoporodu si tak trošku zdřímnete . Kdežto při orgasmickém porodu zažijete orgasmus .	L' accouchement sous pnose , vous dormez un petit peu . Pendant l' accouchement orgasmique , vous expérie- expérimentez un orgasme .
Ale samozřejmě , žertuji , je to mnohem složitější .	Bien sûr , c' est beaucoup plus compliqué .
U hypnoporodu jde především o to , že nacvičujete různé techniky fyzického uvolnění a hloubkové relaxace .	Ce qui est important pour l' accouchement sous hypnose , ce sont des techniques spécifiques pour se détendre , pour se reposer , se relâcher .
A díky těmto technikám se žena naučí správně dýchat a ovládat autosugesci .	La femme apprend à respirer et contrôler l' autosuggestion .
Metoda pracuje tedy s dýcháním , s relaxacemi , s vizualizacemi a s afirmacemi . Důležitý je trénink .	Alors , ce qui est important c' est la relaxation , les visualiations et les relaxations et les affirmations .
Pravidelný trénink . A nácvik těchto technik . A to jak v kurzech , tak i v domácím prostředí .	Il faut s' entraîner régulièrement , et apprendre à utiliser ces techniques de manière appropriée à domicile , mais aussi hors @ de l' environnement à domicile .
Žena , která si tyto techniky osvojí , tak pak dokáže pomocí hypnózy obejít vědomou mysl. Jinými slovy přemluví své podvědomí k tomu , aby uvěřilo , že porod je pohodlný , krásný , radostný , lehký a hlavně bezbolestný proces .	Si la femme apprend à utiliser ces techniques , elle elle peut contourner l- l- son sa pensée , et c' est-à-dire qu' inconsciemment , la femme est convaincue que l' accouchement est un processus sans douleur , @ un processus sans problème , calme .
Ovšem pozor .	
Pokud vás děsí slovo hypnóza , tak se nemusíte bát , protože veškerý hypnotický stav , do kterého se žena dostává , je takzvaná samohypnóza .	Si le terme hypnose vous fait peur , n' ayez pas peur . Il s' agit seulement de l' auto-hypnose .
Terapeut je zde pouze jakýmsi průvodcem rodičky .	Le thérapeute est une personne qui seulement accompagne la mère .
To samozřejmě znamená , že rozhodování o tom , zda žena setrvá v hypnotickém stavu a kdy z něj vystoupí , je pouze na vůli rodící ženy .	C' est-à-dire , la femme décide toujours si elle veut rester dans le s- l' hypnose , c' est à elle à décider .
Nepředstavujte si tedy výjevy , kdy hypnotizér odpočítává čísla od 10 do 0 a říká vám věty o těžkých očních víčkách a podobné věci .	Alors , il faut pas s' imaginer @ l' hypnotiseur qui compte d' un jusqu' à di , qui utilise des méthodes d' hypnose variées .
Vše je v režii samotné rodičky . Vše si řídí sama a o všem rozhoduje pouze pouze ona .	C' est vraiment la mère qui prend les décisions ...
Možná se ptáte zda je tato metoda vhodná pro každou ženu . Ono by to bylo trošičku naivní myslet si , že tato metoda je vhodná pro každého a že bude fungovat stejně pro každou ženu .	Est-ce que cette méthode est ... apte pour adéquate pour ... toute femme ? On pourrait le penser on pourrait penser que cette méthode fonctionne de manière similaire pour toutes les femmes .
Tomu tak bohužel není .	Ce n' est pas le cas .
Podmínkou úspěchu je totiž takzvaná sugestibilita . Tedy naše vnímavost . To , jak vnímáme .	Il y a une condition importante , c' est la capacité de ressentir ce qu' il se passe .
Nejedná se proto o metodu univerzální , protože vnímavost u různých osob se samozřejmě liší .	Alors , il s' agit pas d' une méthode universelle , parce que la susceptibilité de ressentir ce qu' il se passe n' est pas la même chose .
Mluvíme-li o běžné hypnóze , tak té je schopno údajně 90 až 95 % běžné populace . Ovšem hypnoporod funguje zhruba jen u každé čtvrté ženy . Tedy 25 % žen je schopno zažít hypnoporod , bezbolesný porod , díky hypnoterapii .	Si l' on parle de la de l' hypnose commune , 90 jusqu' à 95 % de la population est susceptible de s- de commencer une hypnose , mais seulement un quart @ des femmes est susceptible de d' effectuer l' accouchement sous hypnose .
Tak .	
A kde má hypnoporod své původy ?	Quelle est l' origine de cette méthode ?
Pokud vás zajímá , kde se tato metoda vlastně vzala . Tak dám vám několik údajů . A asi vás překvapím , protože se nejedná o žádnou novinku . Možnosti hypnotechniky se začaly v praxi ověřovat již ve 30. letech 20. století .	Si vous vous posez la question quelles sont les origines , je vais vous citer quelques chiffres . t-être que vous allez être surpris , mais il s' agit pas d' une méthode récente . nonne a déjà u- commencé à vérifier ses effets de cette méthode @ dans les années 30 .
Dokonce v tehdejším Československu se pomocí hypnotechnik experimentálně rodilo už v 60. letech minulého století . A to v pražské porodnici u Apolináře .	En Tchécoslovaque qui l' ont utilisé déjà ces hypnothéchniques de manière expérimentale dans les z- années 60 , dans une maternité à Prague .
Metodu hypnoporodu ale proslavila Marie Monganová ve své knize Hypnoporod . Nebo v angličtině Hypnobirthing , omluvte mou angličtinu , z roku 1998 .	C' était Madame Marie Morgane Mongan ? qui a ... promu cette cette méthode , accouchement sous hypnose , et elle décrit cette méthode dans son livre publié en 1998 .
A proto se tato metoda občas označuje i jejím jménem , tedy The Mongan Method .	Souvent on appelle cette méthode , souvent aussi la méthode de Marie Mongan .
V poslední době se o metodě bezbolestného porodu často mluví . A to proto , protože se o popularitu této metody zasloužila britská vévodkyně Kate .	Aujourd' hui , on parle de cet accouchement sous hypnose de plus en plus parce qu' elle est devenue plus célèbre grâce à la dusé- duchesse @ Kate .
A ta údajně díky hypnoporodu přivedla na svět své tři děti . Velice snadno , lehce a bezbolestně .	De cette façon , en s' appuyant sur cette méthode , Kate a pou- accouché de trois enfants de manière ... @ facile .
A to tak , že doslova pár hodin po jejich příchodu na svět pózovala krásně upravená a usměvavá novinářům z celého světa .	Et ap- quelques heures après les accouchements , elle était capable de @ rester , de se positionner devant les @ photographes .
	Elle était très calme et tout ça .
Kromě oné usměvavosti a to , že byste mohli dávat tiskové konference hned po porodu , tak jaké výhody hypnoporod vlastně má .	Alors , à part cela , quels sont les avantages de l' accouchement sous hypnose ?
Tak zaprvé se uvádí , že díky hypnoterapii je porod rychlejší a pro rodičku méně náročný .	L' on dit que le l' accouchement est plus rapide et moins exigeant .
Také není potřeba ženě podávat léky k utišení bolesti a nebo jich lze podat mnohem méně .	Ne faut donner à la mère les anti-douleurs où il est possible de réduire le la quantité des médicaments pris .
Také se prý eliminuje případné poranění hráze a redukuje se eventualita nástřihu hráze . Hypnoporod není výhodný a zdravý pouze pro rodičku , ale také pro novorozence .	Aussi , il permet de d' éviter l' utilisation , la b- les blessures @ du périnéé ou bien sûr l' utilisation de l' épisotomie l' épisotomie .
Novorozenec je klidnější , uvolněnější a lépe pije z prsu v prvních okamžicích života .	Il y a aussi des conséquences positives sur les nouveau-nés , parce que le nouveau-né est plus calme , plus détendu .
Je jasné , že díky nenástřihu hráze je rekonvalescence po porodu mnohem kratší . Snižuje se také riziko poporodní deprese , protože porod je pojímán jako radostná událost .	En plus , la période de reconvalescence est plus courte , et en plus le risque de ... de la dépression d' après l' accouchement de l' après l' accouchement est plus réduit .
No a podle zastánců této techniky se při použití metody hypnoporodu zvyšuje i šance na otočení miminka , které je v poloze koncem pánevním .	Et les partisans de cette méthode disent que ... la chance il y a une chance plus élevée de bien positionner le bébé dans dans le ventre .
A to právě v průběhu nácviku hypnoporodu na kurzech a na cvičení doma .	
Nezmínila jsem ale ještě téma strachu z porodu .	Mais je n' ai pas encore parlé de la peur de l' accouchement .
Co s obávaným strachem z porodu ? Pomáhá hypnoterapie a hypnoporod i s tímto obrovským problémem ?	Est-ce que cette méthode de l' accouchement sous hypnose contribue à réduire la peur ?
Tak ano . Hypnoporod nebo metoda hypnoporodu může pomoct i se strachem .	Oui , il a été confirmé que cette méthode peut contribuer à la réduction de la peur .
Já to hnedka vysvětlím .	Je vais vous expliquer comment .
Ono v přírodních kulturách jsou dívky už od malička u porodů přítomny .	Dans les cultures naturelles , les filles sont présentes aux accouchements .
Jsou přítomny u zrození nového života .	
A toto zrození nového života bývá často oslavováno a uctíváno .	La création de la nouvelle vie est souvent célébrée et glorifiée .
Malá děvčátka tak vyrůstají s vědomím toho , že porod je pozitivní událost , na kterou se můžou těšit a není se třeba této události bát .	Les petites filles savent donc que l' accouchement est un événement positif @ qu' il ne faut pas avoir peur si la fille devient d- devient devient une mère .
Když se pak z nich stává matka , tak prožívá porod podobný k těm , které zažilo , která dívka zažila již v dětství . Tedy bez bolesti a bez strachu .	Elle fait l' expérience de quelque chose qu' elle a déjà vu , sans peur , sans doleu- douleur .
V naší kultuře toto však neplatí a často je tomu právě naopak .	Ce n' est pas le cas de notre culture , c' est le contraire .
Ženy slýchávají od svých maminek a babiček , že porod trval neskutečně dlouho , že to bolí , že se mají porodu bát , že je to úzkostlivá událost .	Souvent , les mères , les grands-mères disent aux filles que les accouchements ont été terribles , que ça prend beaucoup de temps , que c' est qu' il y a beaucoup de deleu- douleur impliquée .
A tak tedy bolest při porodu očekáváme a jsme ovlivněny zkušenostmi našich maminek a našich babiček . A pak často zažíváme to stejné , co zažívaly ony .	Et donc les filles s' attend s' attendent à la douleur . Les expériences de nos filles de nos grands-mères , de nos mères @ forment nos attentes .
Nelze samozřejmě paušalizovat , ale je jisté , že strach z porodu je ve všech ženách naší kultury hluboce zakořeněn .	Bien sûr , il n' est pas possible de généraliser , mais la peur est très profondément ancrée dans notre culture .
Ovšem , při kurzech hypnoporodu je nedílnou součástí takzvaná terapie uvolnění strachu .	Mais ce qu' il fait partie intégrale des cours de l' accouchement sous hypnose , c' est la thérapie de la détention , de la prévention de la peur .
Je známo , že strach paralyzuje . A v extrémních případech může adrenalin uvolňující se do cév porod dokonce zpomalit anebo úplně zastavit .	On sait que l' adrénaline qui est relâchée dans nos veines peut ralentir l' accouchement .
A to nechceme .	
Když ale rodiče a převážně rodičky zpracují svůj strach už během kurzu , ještě před porodem , tak následně nemusí tato negativní emoce , kterou strach bezesporuje , ovlivnit samotný proces rození .	Mais si les mères , les futures mères , apprè- apprennent à contrôler leur peur ... avant l' accouchement , cela peut vraiment aider à bien ... se débrouiller .
No a při pohledu na hodinky vidím , že už jsem malinko možná překročila čas , který mi byl dán k dispozici .	Si je regard le temps , je vois que j' ai déza épuisé le temps .
Tak ještě pár praktických informací na závěr .	Alouéd- alors , je vais vous donner cons- quelques conseils pratiques pour conclure .
Pokud vás tato metoda zajímá , pokud se chcete dozvědět více , tak můžete naštívit naše kurzy . Nebo možná jako první krok naše webové stránky , které znějí www.hypnoporod.kurzy.cz.	Si vous êtes intéressé par cette méthode , si vous voulez s- vous renseigner , vous pouvez assister à nos cours ou bien sûr vous pouvez consulter notre site web www.hypnoporod-kurzy.cz.
Kurzy hypnoporodu vedu já a má kolegyně zkušená porodní dula a certifikovaná lektorka Adéla Lančová .	Moi , je suis enseignante et s- et aussi ma collègue très expérimentée Adela Larchova qui l' est qui est doula certifiée .
My , naše kurzy se poněkud odlišují od jiných hypnokurzů , protože nabízíme ženám takzvanou kontinuální podporu .	Nos cours sont un petit peu différents @ que les autres cours parce qu' on propose un une assistance continue .
Tedy provedeme je těhotenstvím . Naučíme je jak na hypnoporod . Doprovodíme je k porodu . A následně je podporujeme i během šestinedělí .	Alors , un accompagnement lors de la grossesse mais aussi accompagnement lors de l' accouchement . Et la période après-natale .
No a to je z mé strany vše . Já vám děkuji za pozornost a hlavně nezapomeňte , že porod je proměna . Porod je síla . A porod je hlavně láska .	Alors , c' est tout de ma part , je vous remercie de votre attention et il ne faut pas oublier que l' accouchement est un changement et surtout l' amour .
	Je vous remercie .
