Thank you , thank you very much .	
I would usually start some workshops with them , and , at one of the first workshops , I would organise in such a uniform company , I would ask everybody in the room what defines a company .	Většinou jsem s nimi uspořádala určité dílny . A jedním z prvních úkolů , které jsem jim dala , bylo otázka , co definuje společnost .
Of course , people were saying it 's the product the company sells , or it 's the services it offers , or it 's how much money they generate .	Všichni mi odpověděli , že to je produkt , který společnost prodává . Nebo objem peněz , který firma generuje .
But I would say that any organization is defined by the people who work there .	Řekla bych ale , že každou organizaci definují lidé , kteří v ní pracují .
Managers and employees help shape a company 's mission statement and viewpoints .	Manažeři a zaměstnanci . Pomáhají utvořit základní stanovisko společnosti .
And the employees reflect the organization 's ideals and aims .	A také pomáhají stanovit ideály a cíle organizace .
And it might happen that a business pivot into some new sector or start offering different services , but it 's still the people whose names are on the organization charts .	Mohou také organizaci pomoci , ať se , aby se stočila k něčemu jinému , k jiné činnosti .
And it 's the people who carry on the spirit of the business .	To lidé nesou ducha společnosti .
So this is why cultural diversity is so important in the modern workplace .	Právě proto je v moderním pracovišti velmi důležitá rozmanitost .
Managers who know this and who hire employees who come from all economic and social political backgrounds bring unique viewpoints this way , and they bring perspectives to the company .	Manažeři , kteří toto ví a kteří zaměstnávají zaměstnance z všech možných sociálně politických zázemí , tímto své společnosti zajišťují unikátní perspektivy .
Embracing cultural diversity allows employees from disadvantaged backgrounds to have a better chance to , to have a career that fulfills them and that is rewarding to them .	Osvojit si kulturní rozmanitost pomáhá lidem ze složitějších sociálních zázemí uspět v životě a zajistit si dobrou kariéru .
And at the same time , people who work in an office that cherishes cultural diversity can approach conflicts and decisions with a global and holistic mindset , perhaps .	Zároveň lidé , kteří pracují v kanceláři , která si ( váží ) kulturní rozmanitosti , se mohou k řešení konfliktů přistoupit z hlediska celkového , holistického .
So , cultural diversity is crucial , but there are challenges to making it a reality in any office setting .	Kulturní rozmanitost je zásadní . Ale vždy se vyskytnou výzvy pro to , abychom rozmanitost podporovali .
Trust me , I have worked with so many companies and it has never been easy .	Nikdy nebylo jednoduché rozmanitost zavést .
Some companies may not make cultural diversity a priority .	U některých společností nejde o prioritu .
Some companies might not dedicate the financial investment required to , to hire diverse employees , or they just simply may not appreciate the benefits of a culturally diverse workforce .	Další společnosti možná si vůbec neváží rozmanité , rozmanitých zaměstnanců .
At the beginning , I mentioned that we still have a long way to go in reaching cultural diversity in our everyday lives .	Myslím , že je před námi ještě hodně práce , než zavedeme kulturní rozmanitost v našem všedním životě .
So how do we go about it ?	Jak bychom to tedy mohli udělat ?
Most of us go to work every day .	Většina z nás chodí do práce každodenně .
So let me give you some numbers on diversity in the workplace .	Takže teď bych vám ráda dala pár konkrétních údajů .
First , let 's have a look at gender diversity .	Ta prvá jde o pohlavní rozmanitost .
I would like to tell you some numbers from a report by the US Department of Labor .	Dám vám pár cíl , dám vám pár čísel . Ministerstva práce Spojených států amerických .
In this report , they claim that almost 47 % of the workforce in 2017 was comprised of women .	Zprávě tohoto ministerstva je , že v roce 2017 téměř 47 % pracovníků tvořily ženy .
That might sound great .	To může znít dobře .
You know , if almost half of the workforce is comprised of women , then almost half of it is comprised of men . And that 's a perfect 50-50 situation .	Skoro polovinu pracovníků tvoří ženy . Pak zhruba polovinu tvoří muži , a je to tedy skoro 50 na 50 .
But if we look at some specific fields , women 's participation is high in some and very low in some others .	Pokud se ale podíváme na konkrétní oblasti . Pak zastoupení ženy je v některých oblastech vysoké a v některých nízké .
For example , 93 % of dental assistants are women .	Například 93 % asistentek u zubaře jsou ženy .
So then there are only 7 % of men .	7 % jsou muži .
And another example , 82 % of social workers are women .	82 % sociálních pracovníků tvoří ženy .
On the other hand , in many high-paying fields , women 's participation is very low .	Na druhé straně ve vysoko vysoce placených pozicích bývá zastoupení žen velmi nízké .
According to data from the Department of Labor that I have already mentioned , women account for only 14.7 % of software engineers , only 26.6 % of mathematicians and only 20 % of civil engineers .	Podle Ministerstva práce Spojených států ženy tvoří 14,7 % softwarových inženýrů . Jen asi 26 % matematiků . A jen 20 % stavebních inženýrů .
So here you can see that the gender balance is not achieved in some of these areas .	Vidíte , že tady už to s tou vyrovnaností není tak slavné .
Let 's now have a look at racial and ethnic diversity in the United States just briefly .	Podívejme se nyní na rasovou a etnickou rozmanitost ve Spojených státech .
The same report from the US Department of Labor says that the number of African-American workers in the labor force was 19.6 million in 2016 .	Tatáž zpráva Ministerstva práce říká , že počet afroameričanů , tedy afroamerických pracovníků , bylo v roce 2016 19,6 milionů .
And this number is expected to grow up to 21.6 million by the year 2026 .	A to vyroste až na 21,6 milionů do roka 2026 .
So that is a 2 million increase in the course of 10 years .	Je to tedy dvoumilionový nárůst během deseti let .
But same as women , African-Americans are shut out of many jobs with high salaries , like in technology or in architecture , engineering and also other professions .	Ale i jako u žen platí to , že u afroamerických pracovníků není takové zastoupení ve lépe placených pozicích . Například v pozicích v oblasti technologie a mnoha dalších .
There are , of course , some other types of diversities that we could discuss , like diversity in religion , or diversity in mental and emotional health , or diversity regarding disabilities , or LGBTQ + identity , but I will not go into much detail because I 'm running out of time , simply .	Je mnoho dalších typů rozmanitosti . Například náboženská rozmanitost . Nebo rozmanitost psychického či emočního zdraví . Pak existuje ještě další typy rozmanitosti .
I thought I would just share some tips that I usually give to the companies , but I won 't do that because I am , I am a businesswoman and I 'm sure you will understand that I won 't share my know-how here .	Například rozmanitost identity a další , ale těm už se nebudu věnovat , protože mi dochází čas. Chtěla bych vám jenom dát pár tipů , které obvykle zmiňuji společnostem , ale to už bohužel vám neřeknu nakonec , protože asi chápete , že jakožto podnikatelka vám neprozradím svůj návod na úspěch .
I need to keep it a secret .	
But I hope that my speech was insightful and that you realize that every one of us have still a chance to change something in our everyday lives , and that you will not just leave this conference later today and start living as you are used to .	Doufám , že můj projev vás zaujal . Doufám také , že si uvědomujete , že každý z nás má možnost něco změnit . Doufám , že později neodejdete z této konference a nebudete žít tak , jak jste žili až dosud .
So every , every one of us needs to start with ourselves .	Každý z nás musí začít u sebe .
Thank you very much .	Děkuji vám za pozornost .
