Dobrý den všem .	Bonjour à toutes et tous .
Takže se narodí s mnoha užitečnými reflexy , jak už jsem říkala .	Donc ce sont des capacités , des réflexes très utiles .
Má nějaké smysly a má nějaké mechanismy učení .	Il y a des mécanismes d' apprentissage naturel .
A to všechno se má v mozku už při narození . Což je docela dost užitečných věcí .	Et tout cela est , fait partie intégrale du cerveau du nouveau-né .
No a teď vám řeknu , co člověk nemá v mozku když se narodí .	Maintenant je vais vous dire ce qu' il y n' a , ce qu' il y a , ce qu' il n' y a pas dans le cerveau .
Takže nemá tam informace , data , software , algoritmy , programy , modely , paměti , obrazy , procesory nebo symboly . To to jsou všechno nějaké strukturální prvky nebo nástroje nebo něco .	Donc , ce sont les informations , les données , euh les logiciels , des algorithmes , des programmes , des modèles , des mémoires , des images , des processeurs , ou bien des symboles .
Architektura , součásti architektury , které umožňují počítačům chovat se inteligentně . Ale člověk takové věci v mozku nemá a ani jednou za celý svůj život si takové věci v mozku nevyvíjí .	Donc tout cela , ce sont des structures , des éléments , des outils , qui ne sont pas là dans le cerveau , mais qui permet à l' ordinateur de paraître intelligent .
Takže . My si neukládáme slova .	Alors , nous ne stockons pas les mots .
Neukládáme si ani pravidla , která nám říkají , jak s nimi manipulovat .	Il n' y a pas de stockage de règles dans le cerveau .
Nevytváříme obrazy nějakých vizuálních podnětů .	On ne crée pas d' images .
Neukládáme si je do žádné vyrovnávací paměti , krátkodobé paměti , ani žádné jiné .	Il n' y a pas une mémoire à court terme ou toutou toutou toute autre mémoire .
A následně neprovádíme vyhledávání informací , obrazů nebo slov tady z nějakých těch úložišť .	On ne retrouve pas les mots dans les stockages .
Toto všechno dělají počítače , ale živé organizmy to nedělají .	C' est ce que les ordinateurs font , mais les êtres humains ne le font pas .
A možná se ptáte , proč vzhledem k té jasné biologické skutečnosti tolik vědců mluví o našem mozku , jako kdyby to byl počítač ?	Peut-être que vous vous posez la question pourquoi beaucoup de scientifiques parlent du cerveau comme si c' était un ordinateur .
No , podíváme se na to , jak se o mozku mluvilo v předchozích historických obdobích .	Alors , voyons maintenant comment est-ce qu' on décrivait le cerveau auparavant .
Například okolo roku 1500 byly vynalezeny stroje poháněné různými pružinami a převody . No a ty inspirovaly přední myslitele , například Reného Descarta , tvrzení , že mozky lidí jsou složité stroječky s mechanickými převody . v polovině 19. století přišel na řadu například německý fyzik Hermann von Helmholtz , který inspirován nedávným pokrokem v oblasti komunikace přirovnal mozek k telegrafu .	Près de 5 ... près de 1500 , les chercheurs , par exemple Descartes , prétendaient que le cerveau était des appareils , des de petites machines . La moitié du 15e siècle , c' était le physicien prussien Hermann von Helmholtz qui assoc- associait le cerveau au télégraphe .
Takže vidíte , že každá taková metafora vlastně odráží nejpokročilější myšlení , nejpokročilější objevy té doby .	Donc , vous voyez que ces métaphores réfléchissent les moments , les inventions charnières .
Je tedy logické , že po nástupu vypočetní techniky někdy zhruba v polovině 20. století se o mozku začalo říkat , že funguje jako počítač .	Dans la moitié du XXe siècle , avec les nouvelles technologies , l' on a commencé à parler du cerveau humain comme d' un ordinateur .
A dnes prakticky neexistuje žádná forma diskurzu o inteligentním lidském chování , která by probíhala bez použití této metafory zpracování informací ve stylu počítače . Ale je to opravdu jenom metafora .	Et aujourd' hui , on utilise presque toujours cette métaphore qui compare le cerveau avec l' ordinateur , mais il ne s' agit que d' une métaphore .
Je to příběh , který vyprávíme , abychom pochopili , jak funguje něco , čemu zatím tolik ve skutečnosti nerozumíme .	C' est ce qu' on utilise pour comprendre ce qui se passe , pour comprendre les mécanismes .
A stejně jako všechny ty jiné metafory v historii i tato bude jednou zavržena a bude nahrazena buď jinou metaforou , anebo už konečně skutečným poznáním .	Mais je crois que cette métaphore va être remplacée par une autre métaphore ou par notre connaissance , savoir réel .
Zkusím vám to trošku ilustrovat na příkladu stokorunové bankovky .	Je vais vous citer un exemple . Prenons le billet de 100 couronnes .
Když vám teď řeknu , abyste mi nakresleli stokorunovou bankovku , tak ta kresba asi nebude úplně přesná . Což je divné . Neměli byste mít přece obraz stokoronové bankovky uložený v paměti někde v mozku ? Nemůžete si ho prostě načíst a použít vytvoření té kresby ?	Si je vous demande de peindre un billet de 100 couronnes , cette , votre dessin ne sera pas tout à fait précis , parce qu' on se dit que le dessin est stocké dans votre mémoire , donc vous pourriez très bien l' utiliser pour peindre le billet .
No nemůžete .	Mais il n' y a pas cette image .
Protože ve vašem mozku prostě nikdy není obraz stokoronové bankovky a nikdy tam nebude .	
Možná teď budete protestovat . Možná řeknete , no ale když si jí teď tady položím na stůl a hodně dlouho se na ní budu dívat a pak ji budu chtít namalovat , tak to udělám přesně .	Peut-être que vous n' allez pas être d' accord avec moi parce que si je mets le billet sur la table , et la si je vais la regarder pour quelque temps , je pourras mémoriser l' apparence .
To ano , ale to stále neznamená , že budete mít v hlavě ten obraz někde uložený .	Mais cela ne veut pas dire que vous allez être capable de stocker l' image de ce billet .
Prostě se jenom lépe připravíte na to , abyste ji přesněji nakresli .	
Stejně jako třeba klavírista před koncertem .	C' est un peu pareil si l' on parle d' un pianiste avant un concert .
A cvičí , stává se zručnějším v hraní té skladby , ale není to tak , že by vdechl nějak do sebe kopii not nebo něco takového .	Il s' entraîne . Mais il n' est pas capable de d' enre- d' enregistrer les notes .
Takže obraz bankovky v mozku nemáme .	Donc , un dessin d' un billet n' est pas stocké dans notre cerveau .
Co víme ? Zatím je to velmi omezené , ale víme , že náš mozek formují v podstatě zkušenosti a ty jsou trojího rázu .	Ce que nous savons aujourd' hui , c' est que ce sont l' expé- c' est sont les expériences qui sont qui sont vraiment importantes .
Zaprvé pozorujeme , co se kolem nás děje . Zvuky , chování jiných lidí a tak dále .	On voit , on sent , on entend , on écoute .
Za druhé vnímáme párování nedůležitých podnětů , například houkání sanitky s důležitými podněty . Což je potom samotný průjezd té sanitky , který nás třeba ohrožuje na životě , protože by nás mohla přejet .	En plus , on est capable d' associer quelques phénomènes avec d' autres phénomènes qui sont plus importants , par exemple , une ambulance qui passe , et sa sirène .
A za třetí jsme trestání nebo odměňování za určité chování . A brzy zjistíme , že v životě se staneme efektivnějšími , pokud se změníme způsobem , který reflektuje tyto zkušenosti .	Et en plus , notre comportement peut être puni ou l' on peut être récompensé pour notre comportement . Et de cette façon , notre comportement est for- est formé .
Takže dodržujeme pokyny . A chováme se způsobem , který je spíše odměňován než trestán .	Nous respectons les règles , nous voulons éviter d' être punis .
A na nedůležité podněty typu houkání reagujeme stejně jako na důležité podněty typu průjezd rychlé sanitky , protože už jsme si to spojili a víme , že to pro nás bude výhodné .	Les phénomènes qui sont moins importants , par exemple la sirène d' une ambulance . Et nous savons que la sirène est associée à l' ambulance qui veut passer .
To je tedy úplný základ toho , jak funguje lidský mozek .	C' est donc c' est de cette façon que notre cerveau fonctionne .
Já jsem se před několika lety na konferenci zeptala jednoho neurologa , který dostal Nobelovu cenu za identifikaci chemických změn v mořtích mořských plžů po té , co se něco naučí .	Il y a quelques années , j' ai demandé à un neu- neurologue neurologiste qui a été re- , qui a remporté un prix dans le la recherche des gastéropodes .
Jak dlouho podle něj potrvá , než pochopíme , jak teda lidský mozek vlastně funguje , nebo něco , čemu dnes říkáme paměť .	Donc , je lui ai demandé combien de temps il nous faut pour comprendre le cerveau humain .
A řekl mi , že to bude trvat 100 let .	Et il m' a dit il nous faudra 100 ans .
To je smutně dlouhá doba .	Je crois que c' est c' est triste parce que c' est un long temps .
Ale myslím si , že ji můžeme zkrátit tím , že alespoň se pokusíme opustit tu nefunkční nebo zavádějící metaforu o tom , že mozek ukládá a zpracovává nějaké obrazy a pak je zase odněkud vytahuje . A ponecháme tuto metaforu počítačům , protože si myslím , že to přinese pozitiva .	Mais on sera capable d' accélérer notre recherche . Mais au moins l' on peut essayer de raccourcir ou de ne plus utiliser cette métaphore , ... cette métaphore dont j' ai parlé , donc la comparais- la comparaison de du cerveau humain avec l' ordinateur .
Jak v biologii a psychologii , třeba tak i dalšímu vývoji umělé inteligence .	
