Vielen Dank für die Wortübergabe .	
Die Unternehmen , die unsere Charta unterschrieben haben , haben diese Vorteile bereits erkannt . Und ich bin sehr froh deswegen .	Podniky , které podepsaly naši Chartu , ty tyto výhody již poznaly a já jsem opravdu ráda , že tomu tak je .
Sie , diese Unternehmen , lieben Diversity .	Tyto podniky milují takzvanou diversity nebo rozmanitost .
Und die Charta der Vielfalt diente als sichtbares Bekenntnis dazu .	A Charta rozmanitosti je v podstatě to , jak to ukazují navenek .
Damit ich nicht nur ganz abstrakt spreche , bringe ich ein Beispiel .	Abych nemluvila jenom abstraktně , předložím vám příklad .
Was die Auswahlprozesse für Bewerber und Bewerberinnen angeht , bemühen sich viele Unternehmen , diese Prozesse zu modifizieren und von sie von Stereotypen zu befreien .	Co se týče výběrových procesů pro uchazeče , se mnoho podniků snaží tyto výběrová řízení modifikovat . Snaží se je oprostit od stereotypů .
Einer solcher Unternehmen , der auch die Charta unterzeichnet hatte , ist die Firma Telekom .	Jedním takovým podnikem , který také podepsal tuto chartu , je filma Telekom .
Die deutsche Telekom setzt auf ein talentorientiertes Auswahlverfahren für Auszubildende .	Telekom sází na přístup a na výběrové řízení , které se odvijí od talentu .
Also nicht der Notendurchschnitt ist entscheidend , sondern die Talente , die Stärken und Interessen des jeweiligen Bewerbers .	Nejde tedy o průměr známek , jde o talenty jednotlivce , o zájmy a o silné stránky uchazečů .
In einem Qualifizierungsverfahren können Jugendliche ihre Talente beweisen und entfalten .	Ve výběrovém řízení mohou ukázat mladiství své talenty a ty to mohou dále rozvíjet .
Auch diejenigen , deren Perspektiven aufgrund von Lernbeeinträchtigungen oder fehlenden Ausbildungsreife stark eingeschränkt sind .	Také ti , kteří například nemají velmi velké vzdělání , mohou uspět v tomto výběrovém řízení .
Wer in diesem Verfahren erfolgreicher abschneidet , kann direkt mit einer Ausbildung bei der Deutschen Telekom starten .	Kdo je úspěšný právě v tomto výběrovém řízení , může počítat se vzděláním právě v rámci společnosti Telekom .
Und das ist ein großer Vorteil .	A to je výhoda .
Deutschland hat sich in den letzten Jahren dramatisch verändert , was die Frage betrifft , wie viel bunt das Land geworden ist .	Německo se v posledních letech dramaticky změnilo . Německo se stalo barevnějším .
Und das ist eine ökonomische Stärke auf einer Seite , aber auch eine gesellschaftlich-politische Stärke .	Je to na jednu stranu hospodářská výhoda , ale je to také společensko-politická výhoda .
Aber es ist wichtig zu sagen , dass das Potenzial dieser Stärke , die wir hier haben , blieb und bleibt teilweise noch unbenutzt .	Je důležité zdůraznit , že tento potenciál , tato silná stránka , kterou tady máme , částečně zůstává nevyužita .
Um die Bevölkerung für die Themen Diskriminierung und Inklusion zu sensibilisieren , veranstalten wir ganze Reihe von Konferenzen und Kampagnen .	Populace se může podrobovat různým konferencím a kampaním .
Wir initiieren unter anderem auch den bundesweiten Deutschen Diversity Tag , der zum achten Mal am 26. Mai 2020 stattfinden wird .	Iniciujeme také celoněmecký takzvaný Den Diverzity . Ten se bude konat i 26. května 2020 , a to po 8 .
An diesem Aktionstag machen Unternehmen und Institutionen ihr Engagement öffentlich .	V tento den instituce ukazují , jak se veřejně angažují .
2019 wurden mehr als 2.500 Aktionen von über 700 Organisationen organisiert .	Minulý rok se předvedlo přes 700 podniků .
Diesmal wird der Deutsche Diversity Tag auf digitalen Wegen stattfinden .	Tentokrát se den diverzity bude konat digitální cestou .
Es gibt zahlreiche Online-Aktionen .	Bude se konat určité online akce .
Auf unserer Webseite www.charta-der-vielfalt.de teilen wir unsere Ideen zum Thema Vielfalt .	Můžete si o nich přečíst také na našich webových stránkách . Chartadiafeelfact.de.
Diese Ideen stehen jedem zur Verfügung .	
Man kann mitmachen oder sich inspirieren lassen .	Člověk se tam může inspirovat .
Wir haben unter anderem ein Diversity-Bingo erstellt oder auch ein Diversity-Wissensspiel .	Kromě toho jsme také vytvořili takzvané diversity bingo , tedy určitou hru a také vědomostní hru .
In diesem Spiel erfahren Sie zum Beispiel , wann der dritte Geschlecht in das Gesetz eingetragen wurde in Deutschland , was bedeutet die Bezeichnung straight ally oder wie viel Prozent der Menschen mit Migrationshintergrund deutsche Staatsangehörige sind .	V této hre hře se například dozvíte , kdy bylo v Německu uzákoněno třetí pohlaví . Co znamená označení a pojem straight ally . A také se dozvíte , kolik lidí , kolik Němců má nějakou migrační historii za sebou .
Es gibt natürlich auch eine Version auf Englisch . Also ich empfehle @ ganz herzlich das Spiel auch @ allen Teilnehmern der Konferenz .	Toto existuje také v angličtině , takže já vám tuto hru opravdu srdečně doporučuji .
Zum Ende meines Beitrags möchte ich auch darauf hinweisen , dass was das Alter angeht , gibt es auch viel zu tun in der Richtung Vielfalt .	Na závěr svého příspěvku bych také chtěla upozornit na to , že co se týče věku , i zde máme ještě mnoho práce , co se týče rozmanitosti .
Und das vor allem hinsichtlich der demokratischen Wende , die wir derzeit erleben .	A to , hlavně z hlediska takzvaného demokratického převratu , který zažíváme .
Jung von alt kann viel lehren , aber das gilt auch umgekehrt .	Mládí se od stáří může mnoho naučit , ale funguje to i naopak .
Es darf keine Belehrung entstehen .	Nesmí docházet k nějakému poučování .
Es braucht den Austausch .	Je potřeba si informace vyměňovat .
Früher war das so , dass einer wusste alles , weil er älter war , und der Junge wusste gar nichts .	Dříve to bylo tak , že jeden věděl všechno , protože byl starší a ten mladý nevěděl nic .
Es ist zum Glück nicht mehr so .	Tak to dnes ale není .
Wenn man einen gemischten Team hat , ist man viel erfolgreicher .	Pokud máme smíšený tým , pak jsou lidé mnohem úspěšnější .
Dabei gibt es auch schreckliche Stereotype darüber , dass alte Leute nicht mehr so gut lernen können .	Kromě toho existují ještě hrozné stereotypy o tom , že se staří lidé nemohou tak dobře učit .
Aber ich sage , die Fortbildung muss lebenslang sein .	Ale já tvrdím , že vzdělávání je celoživotní .
Wie gesagt , viel zu wenig Unternehmen @ nutzen dieses Potenzia- Potenzial von Vielfalt .	Jak jsem již řekla , příliš málo podniků využívá tento potenciál rozmanitosti .
Ich glaube , das liegt daran , dass die Menschen Vorurteile haben und Angst vor Unterschiedlichkeit haben .	Já si myslím , že to záleží na tom , že lidé mají předsudky . A lidé mají strach z cizího a z rozdílu .
Da ist noch sehr viel Raum daran , etwas zu ändern .	Zde máme opravdu ještě hodně prostoru pro zlepšení .
Ich glaube , in der heutigen Zeit , wo es leider viele politische Strömungen gibt , die gegen Vielfalt agieren und die den Menschen Angst machen , ist es wichtig , dagegen anzusteuern und den Menschen diese Angst vor der Vielfalt zu nehmen und zu zeigen , was Vielfalt Tolles an sich hat und was Vielfalt Tolles bewegen kann .	Myslím , že právě dnes , když existují mnohá politická ( vnutí ) hnutí , která reagují proti rozmanitosti , tak právě dnes je důležité se tomuto posavit . Je důležité lidi tohoto strachu z rozmanitosti zbavit . Je důležité lidem ukázat , co skvělého rozmanitost obnáší a co všechno může rozmanitost způsobit .
	Co můžeme díky rozmanitosti dokázat .
Und das ist der Grund , warum ich es überzeugt mache .	A musí se to odvíjet od nás samotných .
Ich glaube , ich kann was verändern .	Musíme si být vědomi , že opravdu můžeme něco změnit .
Und wenn ich nur ein kleines Schräubchen drehen kann , um diese Welt dadurch besser machen zu können , dann mache ich das gerne über die Charta der Vielfalt .	A i kdyby to znamenalo jenom utáhnout jeden malý šroubek , tak to můžu udělat , abych mohla přispět k rozmanitosti .
Dankeschön .	Děkuji .
