Dobrý den všem .	
Jedná se o nápisy , které se nacházely v Mexiku , Guatemale nebo Belize .	Das ist also eine Schrift , die auf dem heutigen Gebiet von Mexiko und Guatemala verwendet wurde .
Nápisy majštiny se nacházely především na pyramidách a na kamenných ( stélách ) .	Diese Schriftzeichen wurden vor allem a- auf Ste- Stählen und Pyramiden verwendet .
Vědci neměli ani ponětí o tom , co takové písmo může znamenat .	Es stand also die Frage im Raum , was diese einzelnen Schriftzeichen alles bedeuten können .
Majské písmu existuje dodnes , ale už v 16. století se umění psát a číst majské písmo ztratilo .	Die Schrift wird bis heute verwendet . Aber seit dem 16. Jahrhundert ist die Kunst des Schreibens und Lesens dieser Schrift leider verloren gegangen .
Těmto neznámým znakům se říkalo hieroglyfy .	Diese Zeichen wurden als Hieroglyphen bezeichnet .
Správnější označení je ale logogram .	Eine korrektere Bezeichnung ist allerdings Logogramm ....
Logogram , tedy obrázek , který představuje neboli popisuje jedno slovo .	Das heißt , das ist ein Zeichen , das ein ganzes Wort darstellt .
Majské písmo se používalo pro vyprávění životu . života elit anebo pro vyprávění o náboženství .	
Majské písmo jsme nenašli jen na veřejných prostranstvích ve městech , ale také v kodexech , v rukopisních knihách .	Die Schrift der Mayas ist nicht nur auf öffentlichen an öffentlichen Standorten erhalten geblieben , sondern auch in Handschriften und sozusagen in kn- in Büchern .
Existuje pouze pět kodexů na celém světě a to je zvláštní , protože májové psali hodně .	Es sind nur fünf Kodizes erhalten geblieben . Das ist eine sehr kleine Zahl .
Velká část těchto kodexů byla zničena v 16. století františkánským biskupem Diego de Landau .	Eine große Zahl eine große Anzahl der Kodizes wurde nämlich von dem Bischof Diego de Landa verbrannt .
Diego de Landa zničil téměř veškeré majské rukopistné knihy , protože popisovali heretické náboženství májů .	Diego Landa hat alle fast alle Handschriften und Bücher der Mayas zerstört , weil sie die weil er die Religion der Mayas als gotteslästerlich ansah .
Zároveň ale tento františkanský misionář napsal zprávu o věcech na Yukatánu v originálu Relación de las Cosas del Jucatán .	Gleichzeitig hat er als Missionar aber auch die sogenannte Rechtfertigungsschrift @ über die @ Beziehung der Dinge de- auf Yucatan verfasst .
Autor této knihy popsal v jedné části knihy majské písmo .	
A proto abeceda majského písma , ačkoliv víme , že se jedná o logogramy a ne o abecedu , je nazvaná takzvanou landovskou abecedou . V roce 1862 se tento rukopis našel v Madridu .	Wir wissen , dass es sich bei der Schrift um sogenannte Logogramme handelt . Allerdings hat Diego de Landa eine Liste anfertigen lassen , die das spanische Alphabet auch mit Maya-Schriftzeichen darstellt .
A tak díky této knihy knize mohli archeologové a vědci pokračovat ve výzkumu rozluštění majského písma .	Dank dieser Liste konnten Archäologen dann mit der Entschlüsselung der Maya-Schrift große Fortschritte machen .
To se nepodařilo až do 50. let 20. století .	Das ist allerdings nicht bis in die 50er Jahre des 20. Jahrhunderts gelungen .
Jedná se o velmi zajímavou historku .	
Až do konce druhé světové války písmo nebylo rozluštěno .	Bis Ende der Zweiten Weltkrieges wa- war also die Schrift der Mayas nicht entziffert worden .
Až do doby , kdy mladý sovětský voják našel v berlínské knihovně knihu , která ho velmi zaujala .	Erst ein amerikanischer Soldat fand in der Berliner Bibliothek in einer Berliner Bibliothek ein eine Handschrift , die ihm @ die seine Aufmerksamkeit weckte .
Tento voják se nazýval , se jmenoval Jurij Knorozov a jednalo se právě o zprávu o věcech na Yukatanu .	Dieser Forscher hieß Yuri Knorozov .
Knorozov byl student historie , tuto knihu odvezl do Sovětského svazu a tam ji začal zkoumat .	Er war ein Geschichtsstudent . Das gefundene Buch hat er mit @ nach Hause in die Sowjetunion genommen .
Pustil se tedy do práce rozluštění majských symbolů .	Dann hat er sich an die Arbeit des Entzifferns dieser Buchstaben gemacht .
V roce 1952 publikoval článek , kde vysvětloval některé principy majského písma .	Im Jahr 1952 hat er dann einen Artikel eröff- veröffentlicht , in dem er die Entzifferung dieser Schrift erklärte .
Vysvětoval tedy to , že některé ( abecedy ) symboly abecedy Diegade Landi jsou nejen písmena , ale jedná se o celá slova .	Er erklärte , dass die einige Symbole von dem Landa-Alphabet sind nicht nur Zeichen für ein Buchstaben , sondern auch für ganze Worte .
Později se tedy podařilo rozluštit další symboly a slova a dokonce i některé texty .	Später ist es ihm dann auch gelungen , ganze Wörter oder sogar Texte zu entschlüsseln .
Odborníci na majskou kulturu se ale prací tohoto mladíka příliš nenadchli .	Andere Forscher haben allerdings @ diesem Forscher in Russland , in der Sowjetunion , nicht viel Beachtung geschenkt .
Navíc dalším odborníkem byl Erik Thompson , který byl odpůrcem práce Juriho Knorozova .	Ein Beispiel dafür war Eric Thompson , der eigentlich Gegner von Knorozov war .
Myslel si , že jeho práce není vědecky založená .	Er war überzeugt , dass dessen Arbeit nicht wissenschaftlich @ basiert ist .
Samozřejmě tento problém byl také ve spojení s se studenou válkou .	Das Problem stand aber sicherlich auch im Zusammenhang mit dem Kalten Krieg .
Můžeme tady vidět , že světová politika hrála významnou roli také v archeologii .	Wir können sehen , dass die Weltpolitik also bei der @ Archäologie eine wichtige Rolle spielte .
Což je věda , která se zabývá velmi vzdálenou minulostí .	Das ist a- aber ja eigentlich eine Wissenschaft , die sich mit der sehr weit zurückliegenden Geschichte ver- befasst .
Nicméně Erik Thompson rozluštil některé majské symboly .	
Největší práce na rozluštění majského písma začaly v 70. letech 20. století .	Die größte Arbeit bei der Entzifferung der Schrift der Mayas begann dann in in den 60er Jahren des 20. Jahrhunderts .
Přispělo k této práci především americká skupina odborníků vedená Lindou Schill .	Hier machten sich in dieser Arbeit machte sich vor allem eine amerikanische Forschergruppe um die Wissenschaftlerin Linda Scheele verdient .
Tito odborníci ( vyleštili ) vyluštili mnoho dalších neznámých symbolů z majského písma .	Diese Fachleute haben viele weitere der Zeichen der Maya-Schrift entziffert .
A tak dnes díky práci mnoha výzkumníků jsme schopni přečíst velkou část majských symbolů a porozumět do určité míry majské kultuře .	Dank ihrer Arbeit sind wir heute in der Lage , einen Großteil der Maya-Schrift zu lesen und auch mehr über die deren Kultur herauszufinden .
Zatím máme před sebou mnoho práce , ale už nějaké znalosti o majské kultuře díky rozluštění jejího písma máme .	Allerdings haben wir noch viel Arbeit vor uns . Einige Kenntnisse haben wir allerdings schon und das dank der Aufschlüsselung dieser Schrift . ...
Jak už jsem řekla , majština se používala pro popisování života lity a popisování náboženství .	Das gilt vor allem für die Beschreibung ihrer Religion und ihrer Riten .
A tak možná nikdy nebudeme vědět , jak vypadal život běžných obyvatel , kteří používali májštinu jako svůj jazyk .	In einiger Zeit werden wir vielleicht auch in der Lage sein , ihren Alltag zu beschreiben . ...
Já jen doufám , že v budoucnu se nám podaří rozluštit mnohem více a poznat více o této vzdálené a zvláštní kultuře .	Ich hoffe , dass es uns in Zukunft noch gelingen wird , viel mehr von der Schrift zu entziffern und mehr über diese weit zurückliegende Kultur herauszufinden .
To je vše z mé strany . Děkuji , že jste mě vyslechli a doufám , že jste se něco zajímavého naučili .	Das ist von mir alles und ich hoffe , dass Sie im Beitrag etwas Neues , Interessantes lernen konnten .
Děkuji .	Vielen Dank .
